claim	manuscript_location	value	evidence_artefact	field	evidence_level	evidence_artefact_sha256
C01 denominator	Results R1	74,349 acquired ARG occurrences in 6,288 closed genomes	results/summary/portability_class_reconciliation.tsv	__TOTAL__ row, n	documented replicon location	a6a421dce2fe24f49a2c33944ff9552ef5a02d2702f796c97e883b9f11538572
C02 resolution	Results R1	100.000 %; 0 unmatched, 0 ambiguous, 0 missing	results/summary/independent_verification_report_v2.tsv	check rows	documented replicon location	64452c58cd55e73c7c83500a1d732eb41c3b3ead6aecd2ea5f054b00185ea87e
C03 plasmid share, occurrence	Results R1	52.736 %	results/summary/portability_class_reconciliation.tsv	C+D+E over total	documented replicon location	a6a421dce2fe24f49a2c33944ff9552ef5a02d2702f796c97e883b9f11538572
C04 plasmid share, genome-collapsed	Results R1	36.586 % = 3,569 / 9,755 events	data/PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	genome-collapsed event row	documented replicon location	ac1544731341ca639d70ca47edb10075822235c82e32230e11420c03cbec574c
C05 five-class reconciliation	Results R2	A 18,837 / B 16,303 / C 7,170 / D 6,043 / E 25,996 = 74,349	results/summary/portability_class_reconciliation.tsv	all rows	mixed	a6a421dce2fe24f49a2c33944ff9552ef5a02d2702f796c97e883b9f11538572
C06 E1/E2 nesting	Results R2	E1 16,397 and E2 9,599 occurrences	results/receipts/NMV3_RESULT_RECEIPT.json	E1_E2.baseline	plasmid mobility typing	e4de8950db7f8a16275b1395e361c43a569a2581f534c00afc640e7f53a6c247
C07 both-context families	Results R3	164 families in both compartments	results/summary/both_context_determinants.tsv	row count	documented replicon location	14692bb2021c9c128fa7a07cf9425cbca0131f9d44ccb856d6fa4d14c7f89925
C08 species adjustment	Results R3	144 significant at BH q<0.05; 95 survive	results/summary/determinant_enrichment_species_adjusted.tsv	significant_after_bh, survives_species_adjustment	documented replicon location	eddcbe92d4403dba3d72c0cbf84355ccb7d3fdee0fb0d40e0a7bd642152826c4
C09 chromosomal MGE, occurrence	Results R4	46.39 % (16,303 / 35,140)	results/nmis_occurrence_endpoints.tsv	portability_class == B	homology proximity	1fc2a6748f2a15a156d36ddb69d33b6d4225dd26798c2e680341f0df83a9c827
C10 chromosomal MGE, block	Results R4	30.14 % (6,617 / 21,955)	data/PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	context block row	homology proximity	ac1544731341ca639d70ca47edb10075822235c82e32230e11420c03cbec574c
C11 block pair	Results R4	6,617 marker blocks vs 6,616 class-B blocks; 111 occurrences	results/nmdist_occurrence_block_distances.tsv	in_block_feature_beyond_window	homology proximity	8d06ee836b5c7d0c05d3a58ba1f854005982d43a386bb9b9e8494c691a36916c
C12 short-range signature	Results R5	A. baumannii median 647 bp; F(1kb) 0.5224	results/nmdist_primary_estimates.tsv	median_distance_bp, F_1000	homology proximity	905ee498db419347e74fca453a5ac006baacaf818f54772dc4b0a5f3907af683
C13 IS vs integron	Results R5	IS-only reproduces; integrase-only -0.0136 at 10 kb	results/nmdist_sensitivity_results.tsv	sensitivity rows	homology proximity	aaf2b41494e00124a720bc1d8956f8916af74bbeaf36b79f9a71593257e0478f
C14 structural endpoint	Results R6	A. baumannii F(1kb) 0.3531; Kleb 0.0633; Pa 0.0276	results/nmis_primary_estimates.tsv	F_1000	structural IS detection	395ee5162f09bcdc10c8f078a8a55a4d73b115eb08f90df1c30d302096c22afd
C15 structural contrasts	Results R6	N1 +0.2898 and N2 +0.3255 at 1 kb; all 8 CIs exclude zero; Holm p=0.001	results/nmis_species_contrasts.tsv	difference, ci_lo, p_holm	structural IS detection	8e3602ba8e9d3a2a62f06b8b2822f60cb406144309943c4291e859ed8993e253
C16 structural occurrence states	Results R6	12,034 complete+contained; 716 crossing; 1,902 partial; 20,488 none; 0 tool failures	results/nmis_occurrence_endpoints.tsv	endpoint_state	structural IS detection	1fc2a6748f2a15a156d36ddb69d33b6d4225dd26798c2e680341f0df83a9c827
C17 corroboration	Results R6	12,032 / 16,303 = 73.80 %; A. baumannii 86.01 %	results/nmis_occurrence_endpoints.tsv	portability_class == B AND endpoint_state == complete_and_fully_contained	structural IS detection	1fc2a6748f2a15a156d36ddb69d33b6d4225dd26798c2e680341f0df83a9c827
C18 two homology-negative positives	Results R6	12,034 structural positives minus 12,032 corroborated = 2 occurrences structurally positive but homology-negative	results/nmis_occurrence_endpoints.tsv	endpoint_state vs portability_class	structural IS detection	1fc2a6748f2a15a156d36ddb69d33b6d4225dd26798c2e680341f0df83a9c827
C19 IS6 retention	Results R6	4,385 / 4,848 = 90.4 %	results/receipts/NMIS_RESULT_RECEIPT_V1.json	is_family_structurally_gated vs is_family_all	structural IS detection	3725c18716ecd4228e5c5ca1cd261ffafb7d5e18d8ab2a93d72f765decc2b8cc
C20 discordance	Results R7	residual 2.1126 logits, CI 1.8065-2.4376; R2 0.0275	results/receipts/NMV4_RESULT_RECEIPT.json	T2	mixed	9e5c973d756f5689d0ccd054491ddc2139eee3af37eae05c998ff80094b8a62e
C21 host-conditioned allocation	Results R8	A. baumannii vs Klebsiella MH OR 50.29 (45.61-55.45); vs P. aeruginosa 1.26 (QUALIFIED)	results/receipts/NMV4C_RESULT_RECEIPT.json	results	mixed	2ac346f7cc3be43bfa4b2bc92791e1428333693a094064ea64339fcba4cc1679
C22 cargo convergence	Results R9	conjugative 61.54 % vs marker-negative 41.68 %; difference +19.86 pp CI 14.16-25.41	results/summary/convergence_by_mobility_class.tsv	pct_multi_class_ge3	plasmid mobility typing	03bb3a93122e54679401c2c31333e0b916ea53d6ef8e1c560339a6d6b574f760
C23 blinded audit	Results R10	0.9920 design-weighted, CI 0.9761-1.0000, n=120	results/receipts/NMV1C_SCORING_RECEIPT.json	primary_design_weighted_agreement	homology proximity	a2ae6a8d8d7133574c1534172b8c2ccfcec8068ece4ac7b11ae6a1b48b1c42ae
C24 tool/database invariance	Results R10	0.0000 % class transitions; CONJScan kappa 0.875	results/receipts/NMV3_RESULT_RECEIPT.json	arm_I.class_E_definition_concordance	plasmid mobility typing	e4de8950db7f8a16275b1395e361c43a569a2581f534c00afc640e7f53a6c247
PROHIBITED	throughout	No transfer, conjugation, HGT, transposition or element activity was observed or is claimed	data/PORTABILITYRISK_EVIDENCE_LEVEL_DICTIONARY_V1.tsv	experimental mobility row	NOT MEASURED	f79b14016a612ced3e7031ea82c6c42713c15e1dcbef1c6153ac51b367af8b74
