table	column	storage_type	semantic_type	definition	denominator	nullable	curation_state
MANIFEST.tsv	relative_path	text	identifier	Path within this repository.	-	no	curated
MANIFEST.tsv	bytes	integer	integer	File size in bytes.	-	no	curated
MANIFEST.tsv	sha256	text	identifier	Full 64-character SHA-256 of the file.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	table	text	identifier	Basename of the table the row describes.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	column	text	identifier	Column name within that table.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	storage_type	text	category	Inferred storage type: integer, number, array or text.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	semantic_type	text	category	Curated semantic type: identifier, category, number, integer, boolean, array or text.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	definition	text	text	What the column means.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	denominator	text	category	Which denominator the column is counted against.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	nullable	text	category	yes if empty values occur in the sampled rows.	-	no	curated
PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	curation_state	text	category	curated or uncurated.	-	no	curated
PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	denominator	text	category	Which denominator the column is counted against.	-	no	curated
PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	size	integer	integer	Number of units in the denominator.	-	no	curated
PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	definition	text	text	What the column means.	-	no	curated
PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	question_it_answers	text	text	The question this denominator is the right one for.	-	no	curated
PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	notes	text	text	Cautions, and the values computed on this denominator.	-	no	curated
PORTABILITYRISK_EVIDENCE_LEVEL_DICTIONARY_V1.tsv	evidence_level	text	category	Name of the evidence level.	-	no	curated
PORTABILITYRISK_EVIDENCE_LEVEL_DICTIONARY_V1.tsv	layer	text	category	Which analysis layer the evidence level belongs to.	-	no	curated
PORTABILITYRISK_EVIDENCE_LEVEL_DICTIONARY_V1.tsv	definition	text	text	What the column means.	-	no	curated
PORTABILITYRISK_EVIDENCE_LEVEL_DICTIONARY_V1.tsv	basis	text	text	What the level is established by, and how it was validated.	-	no	curated
