key	authors	title	journal	year	volume	pages	doi	pmid	verification	cited_for
feldgarden2021	Feldgarden, M. et al.	AMRFinderPlus and the Reference Gene Catalog facilitate examination of the genomic links among antimicrobial resistance, stress response, and virulence	Scientific Reports	2021	11	12728	10.1038/s41598-021-91456-0	34135355	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	PRIMARY AMRFinderPlus methods citation. This is the paper that introduces AMRFinderPlus (as distinct from the earlier AMRFinder), describes the renaming/expansion of the Bacterial Antimicrobial Resist
feldgarden2022	Feldgarden, M. et al.	Curation of the AMRFinderPlus databases: applications, functionality and impact	Microbial Genomics	2022	8	000832	10.1099/mgen.0.000832	35675101	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The database-side companion for point 1: curation of the AMRFinderPlus genes, point mutations, BLAST rules and HMMs, the quality-control procedure, and public release of the Reference Gene Catalog. Ci
feldgarden2019	Feldgarden, M. et al.	Validating the AMRFinder tool and resistance gene database by using antimicrobial resistance genotype-phenotype correlations in a collection of isolates	Antimicrobial Agents and Chemotherapy	2019	63	e00483-19	10.1128/AAC.00483-19	31427293	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The original AMRFinder tool and Bacterial Antimicrobial Resistance Reference Gene Database, with genotype-phenotype validation against 6,242 NARMS isolates (87,679 susceptibility tests, 98.4% consiste
feldgarden2020erratum	Feldgarden, M. et al.	"Erratum for Feldgarden et al., ""Validating the AMRFinder tool and resistance gene database by using antimicrobial resistance genotype-phenotype correlations in a collection of isolates"""	Antimicrobial Agents and Chemotherapy	2020	64	e00361-20	10.1128/AAC.00361-20	32209564	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Published erratum to feldgarden2019. Included because citing the 2019 validation paper without awareness of its erratum is a correctness risk; include it in the reference list only if the journal's st
robertson2018	Robertson, J. & Nash, J. H. E.	MOB-suite: software tools for clustering, reconstruction and typing of plasmids from draft assemblies	Microbial Genomics	2018	4	e000206	10.1099/mgen.0.000206	30052170	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	MOB-suite: plasmid contig identification (MOB-recon), replicon and relaxase (MOB) typing, and prediction of conjugation potential from draft assemblies. The DOI you supplied, 10.1099/mgen.0.000206, is
xie2017	Xie, Z. & Tang, H.	ISEScan: automated identification of insertion sequence elements in prokaryotic genomes	Bioinformatics	2017	33	3340-3347	10.1093/bioinformatics/btx433	29077810	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	ISEScan: profile-HMM-based pipeline for de novo annotation of insertion sequence elements in prokaryotic genomes, benchmarked against curated IS annotations and applied to 2,784 genomes.
siguier2006	Siguier, P., Perochon, J., Lestrade, L., Mahillon, J. & Chandler, M.	ISfinder: the reference centre for bacterial insertion sequences	Nucleic Acids Research	2006	34	D32-D36	10.1093/nar/gkj014	16381877	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	ISfinder, the reference database and nomenclature authority for bacterial insertion sequences; the source of the curated IS reference set used by IS-annotation tools including ISEScan and panISa.
eddy2011	Eddy, S. R.	Accelerated Profile HMM Searches	PLoS Comput. Biol.	2011	7	e1002195	10.1371/journal.pcbi.1002195	22039361	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	HMMER3 / hmmsearch — accelerated profile hidden Markov model homology search (MSV heuristic filter, sparse rescaling). The primary citation for any hmmsearch/hmmscan step.
camacho2009	Camacho, C. et al.	BLAST+: architecture and applications	BMC Bioinformatics	2009	10	421	10.1186/1471-2105-10-421	20003500	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The BLAST+ command-line suite (blastn/blastp/makeblastdb etc.) used for sequence similarity search.
neron2023	Néron, B. et al.	MacSyFinder v2: Improved modelling and search engine to identify molecular systems in genomes	Peer Community J.	2023	3	e28	10.24072/pcjournal.250		workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	MacSyFinder — the current (v2) release, the version the software's own documentation asks users to cite. Use this as the primary MacSyFinder citation for any run of MacSyFinder 2.x (including CONJScan
