upload_path	bytes	rows	columns	role	licence	sha256
portabilityrisk_nmv5_dataset_v1/CITATION.cff	1584			metadata	CC-BY-NC-ND-4.0	39daf1bc9df6f40f352224945532458137c560a2732a7a8bd80be4a5d5c0c9f0
portabilityrisk_nmv5_dataset_v1/LICENSE	2372			licence	n/a	0e7a83d35ebcb801b63cdb1b8c0b806cfcbba5621005716bef1bc4e5c031b43b
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_CLAIM_TO_EVIDENCE_CROSSWALK_V1.tsv	1454	8	6	metadata	CC-BY-NC-ND-4.0	8efda2c568ab1d2422a590d56cc2078b755060e31bbf819249fdc006686016d8
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_DATA_DICTIONARY_V1.tsv	6412	19	12	metadata	CC-BY-NC-ND-4.0	8c86bc4cd0ca54eb042ddc69cadd6b4900e55e739738c5ba0e831fc0d247278a
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.tsv	2348	6	5	metadata	CC-BY-NC-ND-4.0	fe846baf34f048b3f9f5b57645ba7291a9df9fe4f73d8a3874cc21e1908b325d
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_EVIDENCE_LEVEL_DICTIONARY_V1.tsv	2348	5	6	metadata	CC-BY-NC-ND-4.0	97098b7755c12d8b6f131f984d5394be5880b1d276a30cb2ddfa2a4a053e14a8
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_NMV5_RECEIPT_V1.json	1352			provenance	CC-BY-NC-ND-4.0	e2fe0e0091b79442d45774c4cb4b3f141b5fa319905d2f4c4bf43d6c7ff8c1bc
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_NMV5_RESULT_STATUS_V1.md	2292			documentation	CC-BY-NC-ND-4.0	8d1c8b0097544fb593e8b851e40598e2205f33b34c20e1c9a3c928a8c3d697d9
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_NMV5_TRANSFORMATION_RECEIPT_V1.json	1742			provenance	CC-BY-NC-ND-4.0	fba01430dabca2540a806db39142b98136e37f3311bc57242481bf7553efc9c5
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_PROVENANCE_MAP_V1.tsv	1094	7	5	metadata	CC-BY-NC-ND-4.0	f306bc4143a327c3d873a1849c8bef25f9c1df6abd009f4901f8142265577418
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_PUBLIC_DATA_README_V1.md	8430			documentation	CC-BY-NC-ND-4.0	508ac6fc37729d5757e37b4c4754cb91139efaa383aab2ddf3b3d3a0f0875977
portabilityrisk_nmv5_dataset_v1/PORTABILITYRISK_SOFTWARE_AND_DATABASE_VERSIONS_V1.tsv	2313	13	7	metadata	CC-BY-NC-ND-4.0	b339c8e5a7b95b95e4a27226ccdb544473923ae59d89beebea786e4604bafec1
portabilityrisk_nmv5_dataset_v1/SHA256SUMS	2354	21		metadata	CC-BY-NC-ND-4.0	e3e2cbcfee18bdbf8d122a6a15819da578b1eaec2988135c84b21c3c6ba59bb0
portabilityrisk_nmv5_dataset_v1/portabilityrisk_occurrence_portability_v1.tsv	17751843	74349	19	dataset	CC-BY-NC-ND-4.0	957e529ae56c79593f85c45fe95cb8592fc111ffadb6dbfc1b22857faa88d564
portabilityrisk_nmv5_dataset_v1/schemas/PORTABILITYRISK_CLAIM_TO_EVIDENCE_CROSSWALK_V1.schema.json	1223			schema	CC-BY-NC-ND-4.0	5d721d5dcb6bb164fa880283f2efa7b6fce8bd6aa32605223c0f8d230a78d542
portabilityrisk_nmv5_dataset_v1/schemas/PORTABILITYRISK_DATA_DICTIONARY_V1.schema.json	1935			schema	CC-BY-NC-ND-4.0	0e87e586e13d459fc3e70051b5f983e31bb7300430ada4ee4d789cb9762ba4bc
portabilityrisk_nmv5_dataset_v1/schemas/PORTABILITYRISK_DENOMINATOR_DICTIONARY_V1.schema.json	1068			schema	CC-BY-NC-ND-4.0	8bd637e929165822a33de86297052a1949cdf685170d7012dd4971f39676b83f
portabilityrisk_nmv5_dataset_v1/schemas/PORTABILITYRISK_EVIDENCE_LEVEL_DICTIONARY_V1.schema.json	1245			schema	CC-BY-NC-ND-4.0	f6cf99ab14a3a836f9b8701fab9ac852ed213ff53e701054ba55d2aa801d8b92
portabilityrisk_nmv5_dataset_v1/schemas/PORTABILITYRISK_PROVENANCE_MAP_V1.schema.json	1076			schema	CC-BY-NC-ND-4.0	79d48a5b1492d5586b3a4b10568958f9ee9f5fa4d2e966c8db167f3a2e341bbb
portabilityrisk_nmv5_dataset_v1/schemas/PORTABILITYRISK_SOFTWARE_AND_DATABASE_VERSIONS_V1.schema.json	1310			schema	CC-BY-NC-ND-4.0	ffc139b39144dbc7098f6f766803569b5e670fb561ccff0396a2e933886dc9e5
portabilityrisk_nmv5_dataset_v1/schemas/portabilityrisk_occurrence_portability_v1.schema.json	3789			schema	CC-BY-NC-ND-4.0	57247752a4bd8df3844f5ba9bca16fa634b06989c136167a07831191e1c87b89
portabilityrisk_nmv5_dataset_v1/verify_deposit.py	9499			software	Apache-2.0	ada2f89206d93b0d336b2dd588f02aee2af38b2d63970e4ada7277815e6b5ef9
portabilityrisk_nmv5_dataset_v1.tar.gz	1203405			archive	CC-BY-NC-ND-4.0	eb11e09dc0c0f1cba1e8c4ff6563758b16d4b5218169f72da8db7e45a3e936fa
