table	column	data_type	nullable	units	permitted_values	denominator	derivation	source	interpretation	caveats	observation_status
portabilityrisk_occurrence_portability_v1.tsv	assembly_version	string	no	-	GCA_* or GCF_* with version suffix	occurrence	as recorded by NCBI	NCBI Assembly	The genome assembly the occurrence was called in.	Version suffix matters: a re-versioned assembly is a different record.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	biosample_accession	string	no	-	SAMN*/SAMD*/SAMEA*	occurrence	as recorded by NCBI	NCBI BioSample	The biological sample the assembly derives from.	6,285 distinct BioSamples across 6,288 assemblies: a few samples have more than one assembly.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	bioproject_accession	string	no	-	PRJNA*/PRJEB*/PRJDB*	BioProject	as recorded by NCBI	NCBI BioProject	The sequencing project. Used as the resampling cluster for every bootstrap.	2,283 projects, but effective count by 1/HHI is 136.9 — the nominal count overstates independence.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	organism_harmonized	string	no	-	binomial species name	occurrence	NCBI organism name after harmonisation of synonyms	NCBI Taxonomy	Species of the host genome.	Harmonised, so it may differ in spelling from the raw submission.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	genus	string	no	-	genus name	occurrence	first token of the harmonised species name	NCBI Taxonomy	Genus of the host genome.	-	computed
portabilityrisk_occurrence_portability_v1.tsv	replicon_accession	string	no	-	NCBI nucleotide accession with version	replicon	as recorded by NCBI	NCBI Nucleotide	The molecule carrying the occurrence.	12,811 distinct replicons. Unique only within a versioned assembly.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	replicon_molecule_type	string	no	-	Chromosome | Plasmid	occurrence	NCBI assigned_molecule_location_type for the replicon	NCBI Assembly	Which compartment the occurrence is in.	DOCUMENTATION, not prediction. This is why the location layer has no error rate: 0 unmatched, 0 ambiguous, 0 missing coordinates. It holds only because every genome is closed.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	determinant_name	string	no	-	AMRFinderPlus element symbol	occurrence	AMRFinderPlus 4.2.7 call	AMRFinderPlus	The resistance determinant.	A symbol, not a proven phenotype. No MIC or susceptibility data exists here.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	gene_family	string	yes	-	AMRFinderPlus element family	occurrence	AMRFinderPlus family assignment	AMRFinderPlus	Family the determinant belongs to; the matching unit for family-conditioned analyses.	Empty where AMRFinderPlus assigns no family.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	drug_class	string	yes	-	AMRFinderPlus class string	occurrence	AMRFinderPlus class assignment	AMRFinderPlus	Drug class the determinant is associated with.	Association as annotated by the database, not measured resistance.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	gene_start	integer	no	bp	1-based, >= 1	occurrence	AMRFinderPlus coordinate on the replicon	AMRFinderPlus	Start coordinate of the determinant on its replicon.	1-based inclusive. Part of the primary key.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	gene_end	integer	no	bp	1-based, >= gene_start	occurrence	AMRFinderPlus coordinate on the replicon	AMRFinderPlus	End coordinate of the determinant on its replicon.	1-based inclusive. Part of the primary key.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	strand	string	no	-	+ | -	occurrence	AMRFinderPlus strand call	AMRFinderPlus	Strand of the determinant.	Not used in any distance or class computation.	directly observed
portabilityrisk_occurrence_portability_v1.tsv	location_evidence	string	no	-	direct_closed_replicon (and any other value defined in the frozen protocol)	occurrence	assigned during the direct replicon join	FROZEN_PORTABILITY_CONTEXT_PROTOCOL_V1.json	How the compartment assignment was established.	The whole cohort resolves by direct join; no prediction step exists in this dataset.	operationally classified
portabilityrisk_occurrence_portability_v1.tsv	portability_class	string	no	-	A | B | C | D | E	occurrence	frozen five-class rule over location, MGE context and mobility markers	frozen_portability_class_definitions.json	A chromosomal with no MGE marker within +/-10 kb; B chromosomal with >=1 marker; C plasmid with no mobility marker; D plasmid relaxase-positive; E plasmid relaxase and MPF positive.	OPERATIONAL, not biological. Class A is not 'immobile' and class C is not 'non-mobilizable' — both are statements about what a marker database returned.	operationally classified
portabilityrisk_occurrence_portability_v1.tsv	mobility_category	string	yes	-	predicted_conjugative | predicted_mobilizable | nonconjugative_or_no_mobility_markers_detected	replicon	MOB-suite 3.1.9 relaxase / MPF / oriT typing of the replicon	MOB-suite	Mobility architecture encoded on the replicon.	Empty for chromosomal rows by construction. 'Predicted' means marker-consistent; no conjugation was performed.	operationally classified
portabilityrisk_occurrence_portability_v1.tsv	evidence_layer_location	string	no	-	layer label	occurrence	records which evidence layer supplied the compartment	FROZEN_PORTABILITY_CONTEXT_PROTOCOL_V1.json	Provenance of the location call, kept separable so a revision of one layer does not silently move another.	-	operationally classified
portabilityrisk_occurrence_portability_v1.tsv	evidence_layer_mobility	string	yes	-	layer label	occurrence	records which evidence layer supplied the plasmid mobility call	FROZEN_PORTABILITY_CONTEXT_PROTOCOL_V1.json	Provenance of the mobility call.	Empty for all 35,140 chromosomal rows (47.26 %) by construction, not by missing data.	operationally classified
portabilityrisk_occurrence_portability_v1.tsv	evidence_layer_mge	string	yes	-	layer label	occurrence	records which evidence layer supplied the chromosomal MGE context call	FROZEN_PORTABILITY_CONTEXT_PROTOCOL_V1.json	Provenance of the MGE context call.	Empty for all 39,209 plasmid rows (52.74 %) by construction, not by missing data. The two mobility/MGE emptiness counts are exactly complementary and sum to 74,349.	operationally classified
