sensitivity	description	group	n_occurrences	weight_total	n_observed	n_censored_at_10kb	F_1000	F_2000	F_5000	F_10000	restricted_mean_distance_bp	auc_detection_bp	median_distance_bp
PRIMARY	block-balanced, nearest MGE either type	A. baumannii	8005	4138.0	6477	1528	0.5224207090235365	0.5877907885036934	0.5963589495730627	0.6322619623006284	4180.01275855113	5819.98724144887	647.0
PRIMARY	block-balanced, nearest MGE either type	P. aeruginosa	7150	4102.0	2861	4289	0.09934636101749704	0.1256285090390405	0.14095959230649624	0.17169894951464917	8594.702346860167	1405.2976531398326	not reached
PRIMARY	block-balanced, nearest MGE either type	Klebsiella group	15568	10887.0	5325	10243	0.10386594730446723	0.12266024271923388	0.15332290546283092	0.23902360613575824	8365.280079061886	1634.7199209381142	not reached
S1	occurrence-weighted, every occurrence weight 1	A. baumannii	8005	8005.0	6477	1528	0.633479075577764	0.7761399125546533	0.7902560899437852	0.8091193004372267	2470.561149281699	7529.438850718301	496.0
S1	occurrence-weighted, every occurrence weight 1	P. aeruginosa	7150	7150.0	2861	4289	0.24853146853146854	0.32797202797202796	0.37608391608391606	0.40013986013986014	6504.452727272727	3495.5472727272727	not reached
S1	occurrence-weighted, every occurrence weight 1	Klebsiella group	15568	15568.0	5325	10243	0.16636690647482014	0.19951181911613566	0.24454008221993834	0.3420477903391572	7484.99614594039	2515.0038540596097	not reached
S2	one deterministic occurrence per block	A. baumannii	8005	4138.0	6477	1528	0.5244079265345578	0.5889318511358144	0.596906718221363	0.6326727887868535	4176.823102948284	5823.176897051716	647.0
S2	one deterministic occurrence per block	P. aeruginosa	7150	4102.0	2861	4289	0.10019502681618722	0.1257922964407606	0.14066309117503656	0.17064846416382254	8595.767430521697	1404.232569478303	not reached
S2	one deterministic occurrence per block	Klebsiella group	15568	10887.0	5325	10243	0.10351795719665656	0.1230825755488197	0.15385321943602462	0.23927620097363828	8365.546339671168	1634.4536603288325	not reached
S3	minimum ARG-to-MGE distance per block (any-ARG block distance; FAVOURS multi-ARG blocks)	A. baumannii	4138	4138.0	2619	1519	0.5901401643305945	0.5932817786370227	0.597390043499275	0.6329144514258096	4059.2672788786854	5940.732721121314	279.0
S3	minimum ARG-to-MGE distance per block (any-ARG block distance; FAVOURS multi-ARG blocks)	P. aeruginosa	4102	4102.0	724	3378	0.13529985372988787	0.14212579229644076	0.1452949780594832	0.1764992686494393	8470.653583617748	1529.3464163822518	not reached
S3	minimum ARG-to-MGE distance per block (any-ARG block distance; FAVOURS multi-ARG blocks)	Klebsiella group	10887	10887.0	2619	8268	0.1194084688160191	0.13006337834114082	0.16551850831266648	0.2405621383301185	8286.207587030403	1713.7924129695966	not reached
S4	excluding the five truncated blocks	A. baumannii	8005	4138.0	6477	1528	0.5224207090235365	0.5877907885036934	0.5963589495730627	0.6322619623006284	4180.01275855113	5819.98724144887	647.0
S4	excluding the five truncated blocks	P. aeruginosa	7150	4102.0	2861	4289	0.09934636101749704	0.1256285090390405	0.14095959230649624	0.17169894951464917	8594.702346860167	1405.2976531398326	not reached
S4	excluding the five truncated blocks	Klebsiella group	15550	10882.0	5309	10241	0.1036869970260125	0.1224715489632083	0.15302577391783131	0.2387658518654659	8367.692864738106	1632.3071352618936	not reached
S5	excluding circular-wrapped blocks	A. baumannii	7937	4105.0	6412	1525	0.5222659912154431	0.5871770075911368	0.5949411287048315	0.6300365408038977	4193.741068587391	5806.258931412609	647.0
S5	excluding circular-wrapped blocks	P. aeruginosa	7138	4097.0	2857	4281	0.09934556331310053	0.12553774568663512	0.14076549856998968	0.17142032973128896	8596.39566190393	1403.6043380960691	not reached
S5	excluding circular-wrapped blocks	Klebsiella group	15545	10871.0	5307	10238	0.10312193618836674	0.12192089619025843	0.15253670055871954	0.23827154815564344	8372.731599737535	1627.2684002624646	not reached
S6	IS/transposase-only endpoint	A. baumannii	8005	4138.0	6475	1530	0.5223171393211268	0.5877303728439544	0.5962381182535847	0.6321411309811503	4180.95964455541	5819.04035544459	647.0
S6	IS/transposase-only endpoint	P. aeruginosa	7150	4102.0	2752	4398	0.099102577497263	0.12538472551880644	0.14095959230649624	0.15154617850863586	8679.291348160345	1320.7086518396554	not reached
S6	IS/transposase-only endpoint	Klebsiella group	15568	10887.0	5243	10325	0.1037649093693152	0.12045577867955352	0.14914360905427027	0.2350280150638376	8397.487155653887	1602.5128443461126	not reached
SEC_INT	integrase/integron-only endpoint (SECONDARY: sparse evidence arm)	A. baumannii	8005	4138.0	1997	6008	0.029924643451709663	0.043482179036794785	0.06287328246910172	0.09936142042534019	9360.815830184396	639.184169815604	not reached
SEC_INT	integrase/integron-only endpoint (SECONDARY: sparse evidence arm)	P. aeruginosa	7150	4102.0	2074	5076	0.03465028524755487	0.055087598895497476	0.08258742787631136	0.11595363640097915	9180.185616858222	819.8143831417783	not reached
SEC_INT	integrase/integron-only endpoint (SECONDARY: sparse evidence arm)	Klebsiella group	15568	10887.0	2832	12736	0.019933221859568875	0.04345551451628308	0.05562533096411658	0.11295774673081509	9344.498009977473	655.501990022527	not reached
