contrast	kind	group_a	group_b	landmark_bp	estimand	value_a	value_b	difference	ci_lo	ci_hi	p_bootstrap	p_holm
P1	primary	A. baumannii	Klebsiella group	1000	F(d) block-balanced	0.5224207090235365	0.10386594730446723	0.4185547617190693	0.3720796285962805	0.4589689699767709	0.0005	0.001
P1	primary	A. baumannii	Klebsiella group	2000	F(d) block-balanced	0.5877907885036934	0.12266024271923388	0.4651305457844595	0.4146276987793849	0.5069142321999185	0.0005	0.001
P1	primary	A. baumannii	Klebsiella group	5000	F(d) block-balanced	0.5963589495730627	0.15332290546283092	0.4430360441102318	0.3928411102691984	0.48462083638121584	0.0005	0.001
P1	primary	A. baumannii	Klebsiella group	10000	F(d) block-balanced	0.6322619623006284	0.23902360613575824	0.39323835616487013	0.34233504588230945	0.4339478683642368	0.0005	0.001
P1	primary	A. baumannii	Klebsiella group	RMD_0_10kb	restricted mean distance	4180.01275855113	8365.280079061886	-4185.267320510756	-4588.223113544649	-3696.117768028026	0.0005	
P2	primary	A. baumannii	P. aeruginosa	1000	F(d) block-balanced	0.5224207090235365	0.09934636101749704	0.4230743480060395	0.3827739531668016	0.45664791489126316	0.0005	0.001
P2	primary	A. baumannii	P. aeruginosa	2000	F(d) block-balanced	0.5877907885036934	0.1256285090390405	0.4621622794646529	0.41565226136456485	0.5007864738779169	0.0005	0.001
P2	primary	A. baumannii	P. aeruginosa	5000	F(d) block-balanced	0.5963589495730627	0.14095959230649624	0.45539935726656644	0.4065180581839979	0.49780571765509535	0.0005	0.001
P2	primary	A. baumannii	P. aeruginosa	10000	F(d) block-balanced	0.6322619623006284	0.17169894951464917	0.4605630127859792	0.41091116905072345	0.5034412218832749	0.0005	0.001
P2	primary	A. baumannii	P. aeruginosa	RMD_0_10kb	restricted mean distance	4180.01275855113	8594.702346860167	-4414.689588309037	-4804.727235012918	-3953.1918660549823	0.0005	
P3	secondary	P. aeruginosa	Klebsiella group	1000	F(d) block-balanced	0.09934636101749704	0.10386594730446723	-0.00451958628697019	-0.03706762083053592	0.026423041916795	0.768	
P3	secondary	P. aeruginosa	Klebsiella group	2000	F(d) block-balanced	0.1256285090390405	0.12266024271923388	0.002968266319806609	-0.03618378222032685	0.03935579319381669	0.93	
P3	secondary	P. aeruginosa	Klebsiella group	5000	F(d) block-balanced	0.14095959230649624	0.15332290546283092	-0.012363313156334682	-0.05425142759866963	0.026954740989842498	0.539	
P3	secondary	P. aeruginosa	Klebsiella group	10000	F(d) block-balanced	0.17169894951464917	0.23902360613575824	-0.06732465662110906	-0.11242605043838214	-0.027579310664049343	0.0005	
P3	secondary	P. aeruginosa	Klebsiella group	RMD_0_10kb	restricted mean distance	8594.702346860167	8365.280079061886	229.4222677982816	-131.5891199383159	621.9894735070751	0.232	
