group	landmark_bp	homology_F	structural_F	ratio_structural_over_homology
A. baumannii	1000	0.5224207090235365	0.3531139913601248	0.6759188241601961
A. baumannii	2000	0.5877907885036934	0.3956356267919825	0.6730891918179431
A. baumannii	5000	0.5963589495730627	0.43146487226054653	0.7234986119843344
A. baumannii	10000	0.6322619623006284	0.4554789680273006	0.7203959674719909
P. aeruginosa	1000	0.09934636101749704	0.027610265567359665	0.2779192441935231
P. aeruginosa	2000	0.1256285090390405	0.04931918736770029	0.3925795804228942
P. aeruginosa	5000	0.14095959230649624	0.08170582938379134	0.5796400801595243
P. aeruginosa	10000	0.17169894951464917	0.09540453316660046	0.5556500691255577
Klebsiella group	1000	0.10386594730446723	0.0633004717809376	0.6094439363787045
Klebsiella group	2000	0.12266024271923388	0.07358092793989823	0.5998759362340662
Klebsiella group	5000	0.15332290546283092	0.10214908489358648	0.6662349932988312
Klebsiella group	10000	0.23902360613575824	0.1435346944371469	0.6005042629790444
