gene_family	n_plasmid	n_chromosome	n_total	minor_context_fraction
blaOXA	1862	2956	4818	0.3865
fosA	7	4607	4614	0.0015
sul1	2977	1543	4520	0.3414
blaSHV	744	2833	3577	0.208
oqxA	5	3277	3282	0.0015
aph(3')	1189	1713	2902	0.4097
blaTEM	2135	407	2542	0.1601
oqxB	8	2497	2505	0.0032
aph(6)	1557	628	2185	0.2874
aph(3'')	1529	618	2147	0.2878
blaCTX-M	1523	406	1929	0.2105
sul2	1466	375	1841	0.2037
aac(3)	1160	334	1494	0.2236
aadA2	829	502	1331	0.3772
tet(A)	1092	113	1205	0.0938
aac(6')	851	336	1187	0.2831
aadA1	700	480	1180	0.4068
blaKPC	1066	64	1130	0.0566
aac(6')-Ib-cr5	874	116	990	0.1172
arr	888	69	957	0.0721
blaADC	6	941	947	0.0063
mph(A)	886	39	925	0.0422
mrx(A)	882	38	920	0.0413
blaPDC	1	891	892	0.0011
dfrA14	804	49	853	0.0574
catB3	709	138	847	0.1629
ant(3'')	30	811	841	0.0357
msr(E)	480	361	841	0.4293
mph(E)	479	357	836	0.427
qnrS1	804	29	833	0.0348
blaNDM	641	105	746	0.1408
ble	620	98	718	0.1365
armA	268	332	600	0.4467
dfrA12	534	41	575	0.0713
floR	446	107	553	0.1935
tet(B)	172	356	528	0.3258
rmtB1	420	18	438	0.0411
catA2	389	11	400	0.0275
ant(2'')	236	160	396	0.404
catA1	322	51	373	0.1367
qnrB1	326	30	356	0.0843
dfrA50	353	1	354	0.0028
blaDHA	291	19	310	0.0613
blaLAP	295	13	308	0.0422
qnrB4	288	18	306	0.0588
dfrA1	196	99	295	0.3356
dfrA27	284	11	295	0.0373
tet(D)	278	13	291	0.0447
aac(6')-Ib4	168	113	281	0.4021
blaIMP	208	70	278	0.2518
aadA16	267	10	277	0.0361
aac(6')-Ib'	56	180	236	0.2373
blaVIM	134	81	215	0.3767
tet(G)	80	122	202	0.396
floR2	81	110	191	0.4241
aac(6')-Ib3	146	39	185	0.2108
cmlA1	173	11	184	0.0598
cmlA5	156	24	180	0.1333
toprJ1	129	42	171	0.2456
catB8	7	158	165	0.0424
fosA3	150	6	156	0.0385
aph(4)	136	17	153	0.1111
blaGES	45	96	141	0.3191
estX	131	4	135	0.0296
ere(A)	112	21	133	0.1579
aadA5	105	27	132	0.2045
qnrB6	130	1	131	0.0076
sul3	127	2	129	0.0155
qnrA1	126	1	127	0.0079
sat2	31	82	113	0.2743
catB	80	23	103	0.2233
blaCMY	100	1	101	0.0099
dfrA19	91	9	100	0.09
blaCARB	26	73	99	0.2626
dfrA5	79	18	97	0.1856
blaCTX	71	18	89	0.2022
dfrA17	78	9	87	0.1034
tmexC1	85	1	86	0.0116
tmexD1	80	1	81	0.0123
erm(B)	68	10	78	0.1282
tet(X3)	52	25	77	0.3247
blaPER	41	35	76	0.4605
tet(39)	74	2	76	0.0263
erm(42)	68	3	71	0.0423
tmexC	42	29	71	0.4085
rmtF1	64	6	70	0.0857
qnrB	55	1	56	0.0179
qnrVC1	31	25	56	0.4464
bleO	51	3	54	0.0556
qnrB2	48	2	50	0.04
tmexD3	25	25	50	0.5
tmexD2	33	16	49	0.3265
qnrB19	38	7	45	0.1556
mcr-10.1	41	2	43	0.0465
tet(X4)	21	22	43	0.4884
tmexD	24	19	43	0.4419
tet(C)	29	13	42	0.3095
dfrA16	35	5	40	0.125
dfrA15	33	6	39	0.1538
tet(X5)	22	16	38	0.4211
qnrB52	34	3	37	0.0811
dfrB5	1	34	35	0.0286
tmexC3	10	25	35	0.2857
qnrVC6	26	8	34	0.2353
fosA5	3	30	33	0.0909
blaVEB	19	13	32	0.4062
fosZ	29	3	32	0.0938
cmx	1	28	29	0.0345
dfrB1	16	12	28	0.4286
lnu(F)	27	1	28	0.0357
blaAFM	20	7	27	0.2593
rmtC	24	3	27	0.1111
tet(Y)	14	13	27	0.4815
tmexC2	24	3	27	0.1111
aadA22	25	1	26	0.0385
mcr-1.1	25	1	26	0.0385
aacA16	5	20	25	0.2
aadA11	5	20	25	0.2
toprJ	11	14	25	0.44
toprJ2	20	5	25	0.2
cmlA	9	14	23	0.3913
blaIMI	4	18	22	0.1818
cmlA6	8	14	22	0.3636
qnrS	21	1	22	0.0455
catB2	16	5	21	0.2381
tet(M)	20	1	21	0.0476
cmlA8	16	3	19	0.1579
dfrA47	18	1	19	0.0526
dfrA30	17	1	18	0.0556
dfrA7	14	4	18	0.2222
fos	1	17	18	0.0556
aadA15	11	3	14	0.2143
dfrA25	13	1	14	0.0714
dfrB2	1	13	14	0.0714
aac(6')-Ib	11	2	13	0.1538
aadA13	6	7	13	0.4615
aadA25	12	1	13	0.0769
blaMCA	10	2	12	0.1667
cmlA10	1	11	12	0.0833
dfrA41	10	2	12	0.1667
catB8/aac(6')-Ib'	3	8	11	0.2727
rmtB	9	2	11	0.1818
dfrA42	7	3	10	0.3
dfrA44	2	8	10	0.2
