gene_family	n_occurrences	n_plasmid	n_chromosome	pct_plasmid	crude_odds_ratio	crude_ci_lo	crude_ci_hi	crude_fisher_p	species_adjusted_MH_or	species_adjusted_ci_lo	species_adjusted_ci_hi	n_species_strata	n_species_with_within_estimate	within_species_all_same_direction	within_species_detail	unique_plasmids_carrying	unique_genomes_carrying	unique_bioprojects_carrying	largest_mob_cluster_share_pct	lineage_dominated_flag	crude_bh_q	significant_after_bh	survives_species_adjustment
dfrA50	354	353	1	99.72	319.2317	44.8395	2272.7469	1.2379574463718464e-96	177.4612	25.1999	1249.7076	8	1	yes	Klebsiella pneumoniae:n=325,OR=160	351	352	167	98.02	yes	8.504229414206597e-96	yes	yes
qnrB6	131	130	1	99.24	116.8932	16.3411	836.1747	4.6175495977509404e-35				8	2	yes	Klebsiella pneumoniae:n=40,OR=39.5;Enterobacter hormaechei:n=70,OR=71.7	125	122	46	40.0	no	1.4305349734208797e-34	yes	not_estimable
qnrA1	127	126	1	99.21	113.2849	15.8329	810.5565	6.024935194262033e-34	316.5556	10.1195	9902.4299	8	2	yes	Klebsiella pneumoniae:n=41,OR=40.5;Enterobacter hormaechei:n=48,OR=49	124	123	64	40.48	no	1.7961127560252853e-33	yes	yes
qnrB91	53	53	0	100.0	96.0258	5.9287	1555.3176	2.1709305425458603e-15				3	1	yes	Klebsiella pneumoniae:n=47,OR=46.4	51	51	32	73.58	yes	4.454636697691506e-15	yes	not_estimable
blaCMY	101	100	1	99.01	89.8489	12.5322	644.1667	7.699318831112601e-27	259.0261	10.4308	6432.3535	7	1	yes	Klebsiella pneumoniae:n=80,OR=78.7	100	98	57	72.0	yes	1.9942497955996576e-26	yes	yes
tmexC1	86	85	1	98.84	76.3423	10.63	548.274	1.0887812602909844e-22	40.0971	5.5595	289.1947	3	1	yes	Klebsiella pneumoniae:n=78,OR=37.6	76	77	27	52.94	yes	2.7746361149350894e-22	yes	yes
tmexD1	81	80	1	98.77	71.8424	9.9962	516.3263	2.7057220435263213e-21	38.3122	5.3216	275.8218	2	1	yes	Klebsiella pneumoniae:n=77,OR=37.2	73	74	26	53.75	yes	6.576985890417827e-21	yes	yes
sul3	129	127	2	98.45	57.0918	14.1228	230.7962	9.186737458378563e-33	30.0117	7.4344	121.1525	8	1	yes	Klebsiella pneumoniae:n=107,OR=25.7	127	122	72	29.13	no	2.6390991244069324e-32	yes	yes
qnrB	56	55	1	98.21	49.3601	6.8302	356.7134	1.4952973275401174e-14	26.0988	3.624	187.955	5	1	yes	Klebsiella pneumoniae:n=46,OR=22	55	55	22	50.91	yes	2.953212221891732e-14	yes	yes
mcr-8.1	23	23	0	100.0	42.1473	2.5598	693.9486	4.373240299103034e-07				1	1	yes	Klebsiella pneumoniae:n=23,OR=22.9	23	23	16	73.91	yes	6.224972678002516e-07	yes	not_estimable
blaSFO	21	21	0	100.0	38.5583	2.3355	636.5814	1.6019861697177895e-06				5	0			21	21	19	42.86	no	2.1820156449604376e-06	yes	not_estimable
tet(39)	76	74	2	97.37	33.2211	8.1546	135.3401	2.10729091897254e-18				2	1	yes	Acinetobacter baumannii:n=22,OR=282	70	64	48	14.86	no	4.825390799966106e-18	yes	not_estimable
catA2	400	389	11	97.25	32.0013	17.5726	58.2771	1.6669709324716017e-91	23.5819	11.8317	47.0014	10	2	yes	Klebsiella pneumoniae:n=286,OR=27.7;Enterobacter hormaechei:n=69,OR=17	371	371	227	27.76	no	1.0535256293220523e-90	yes	yes
estX	135	131	4	97.04	29.4463	10.8875	79.6405	3.033886581133141e-31	15.9328	5.901	43.0187	7	1	yes	Klebsiella pneumoniae:n=120,OR=14.2	131	128	60	28.24	no	8.409720698579584e-31	yes	yes
qnrS1	833	804	29	96.52	25.3462	17.4944	36.7222	2.1306447024216883e-181	14.8035	10.1451	21.6011	9	4	yes	Klebsiella pneumoniae:n=629,OR=13.1;Klebsiella aerogenes:n=21,OR=11;Enterobacter hormaechei:n=72,OR=17.8;Klebsiella quasipneumoniae:n=27,OR=39.9	796	774	414	23.51	no	2.1040116436414174e-180	yes	yes
lnu(F)	28	27	1	96.43	24.214	3.2901	178.2076	8.162610719849056e-07	11.4976	1.5715	84.1205	7	0			27	28	23	51.85	yes	1.1413207909169477e-06	yes	yes
aadA16	277	267	10	96.39	24.0864	12.8093	45.2914	1.979438832253229e-60	19.586	9.3527	41.0157	10	1	yes	Klebsiella pneumoniae:n=198,OR=18.9	264	269	160	30.71	no	8.687537097111394e-60	yes	yes
dfrA27	295	284	11	96.27	23.3004	12.756	42.5611	1.0862203441812814e-63	22.291	10.8123	45.9559	11	1	yes	Klebsiella pneumoniae:n=200,OR=19.1	281	288	172	29.23	no	4.90350898230407e-63	yes	yes
fosA3	156	150	6	96.15	22.4878	9.9426	50.8618	5.102625841552586e-34	17.4133	6.6982	45.269	7	1	yes	Klebsiella pneumoniae:n=139,OR=16.5	147	153	99	54.0	yes	1.5504132364717473e-33	yes	yes
aadA22	26	25	1	96.15	22.4192	3.0376	165.4694	1.5454494330247593e-06				6	0			25	26	19	52.0	yes	2.1233131340688e-06	yes	not_estimable
mcr-1.1	26	25	1	96.15	22.4192	3.0376	165.4694	1.5454494330247593e-06	12.6184	1.7303	92.0186	4	1	yes	Klebsiella pneumoniae:n=23,OR=10.7	24	25	24	44.0	no	2.1233131340688e-06	yes	yes
qnrB2	50	48	2	96.0	21.5345	5.2335	88.6093	1.4480511849846734e-11	60.5915	5.0543	726.3782	8	0			46	46	29	20.83	no	2.542134302528649e-11	yes	yes
mrx(A)	920	882	38	95.87	21.2575	15.3583	29.4226	3.076465384547007e-192	13.3327	9.4659	18.779	10	2	yes	Klebsiella pneumoniae:n=732,OR=12.6;Enterobacter hormaechei:n=71,OR=72.7	875	863	369	21.54	no	3.739088698141747e-191	yes	yes
rmtB1	438	420	18	95.89	21.1275	13.1784	33.8713	6.020167845534323e-92	16.1279	9.4185	27.6168	5	1	yes	Klebsiella pneumoniae:n=417,OR=16.7	419	435	239	62.38	yes	3.963277164976763e-91	yes	yes
mph(A)	925	886	39	95.78	20.8079	15.0944	28.6842	2.379500217044797e-192	12.9915	9.2681	18.2108	10	2	yes	Klebsiella pneumoniae:n=738,OR=12.2;Enterobacter hormaechei:n=71,OR=72.7	881	867	372	21.67	no	3.133008619108983e-191	yes	yes
blaLAP	308	295	13	95.78	20.484	11.7517	35.7048	1.2576715378417856e-64	11.2217	6.4173	19.6229	7	2	yes	Klebsiella pneumoniae:n=254,OR=12;Enterobacter hormaechei:n=25,OR=5.76	293	306	199	56.61	yes	5.844473617029474e-64	yes	yes
erm(42)	71	68	3	95.77	20.3479	6.4019	64.6746	9.670184204420033e-16	60.4881	7.7119	474.4337	2	1	yes	Klebsiella pneumoniae:n=68,OR=67	68	71	28	60.29	yes	2.0103804003925858e-15	yes	yes
tet(D)	291	278	13	95.53	19.2951	11.0617	33.6566	4.204803338292083e-60	11.1191	6.2522	19.7746	9	2	yes	Klebsiella pneumoniae:n=168,OR=9.8;Enterobacter hormaechei:n=69,OR=17	276	284	169	21.22	no	1.7955646687841867e-59	yes	yes
qnrS	22	21	1	95.45	18.8302	2.5327	139.9995	1.7674343858507454e-05	10.5737	1.4886	75.1058	2	1	yes	Klebsiella pneumoniae:n=20,OR=9.27	21	21	19	28.57	no	2.2889724013476868e-05	yes	yes
mcr-10.1	43	41	2	95.35	18.3908	4.448	76.0394	1.035342045184659e-09				5	0			41	43	32	24.39	no	1.686433434424496e-09	yes	not_estimable
tet(M)	21	20	1	95.24	17.9331	2.4065	133.6336	3.244056425085195e-05				4	0			20	20	20	15.0	no	4.167161911898056e-05	yes	not_estimable
blaKPC	1130	1066	64	94.34	15.317	11.8971	19.7198	1.3419772072352415e-214	14.8758	10.9596	20.1913	10	3	yes	Klebsiella pneumoniae:n=909,OR=13.8;Pseudomonas aeruginosa:n=80,OR=16.6;Enterobacter hormaechei:n=32,OR=32.7	1013	998	418	31.24	no	2.1203239874316816e-213	yes	yes
bleO	54	51	3	94.44	15.2543	4.7605	48.8799	3.42427977578603e-11	8.4325	2.6471	26.8626	4	1	yes	Klebsiella pneumoniae:n=45,OR=6.83	51	50	43	17.65	no	5.945452797518602e-11	yes	yes
dfrA14	853	804	49	94.26	14.9923	11.232	20.0115	2.8553998515111804e-161	8.8536	6.5639	11.9421	11	2	yes	Klebsiella pneumoniae:n=682,OR=10.1;Enterobacter hormaechei:n=74,OR=3.65	777	792	362	17.29	no	2.5064065363264805e-160	yes	yes
qnrB4	306	288	18	94.12	14.4383	8.9663	23.2498	6.119256095628445e-58	7.8072	4.8521	12.562	9	2	yes	Klebsiella pneumoniae:n=225,OR=6.87;Enterobacter hormaechei:n=43,OR=21.2	275	283	160	22.92	no	2.4790832387417802e-57	yes	yes
cmlA1	184	173	11	94.02	14.1532	7.693	26.0383	3.4017330546488775e-35	50.532	15.5094	164.6407	9	1	yes	Klebsiella pneumoniae:n=137,OR=66.6	167	176	104	17.92	no	1.0749476452690452e-34	yes	yes
blaDHA	310	291	19	93.87	13.8215	8.6876	21.9892	7.415084581946499e-58	7.4621	4.6933	11.8643	9	2	yes	Klebsiella pneumoniae:n=229,OR=6.53;Enterobacter hormaechei:n=45,OR=22.2	280	290	166	23.02	no	2.928958409868867e-57	yes	yes
dfrA12	575	534	41	92.87	11.8201	8.6007	16.2447	6.365471282357313e-100	7.5147	5.3609	10.5338	10	2	yes	Klebsiella pneumoniae:n=506,OR=7.33;Enterobacter hormaechei:n=28,OR=13.5	529	547	270	26.4	no	4.571565739147525e-99	yes	yes
arr	957	888	69	92.79	11.7781	9.2153	15.0537	3.7681621256992073e-165	13.6716	9.9641	18.7587	11	7	yes	Acinetobacter baumannii:n=41,OR=15.2;Klebsiella pneumoniae:n=600,OR=13.1;Pseudomonas aeruginosa:n=49,OR=8.26;Klebsiella oxytoca:n=22,OR=7.61;Enterobacter hormaechei:n=93,OR=15.3;Klebsiella quasipneumoniae:n=21,OR=30.9;Klebsiella variicola:n=20,OR=64.7	839	844	441	10.59	no	3.502174210943969e-164	yes	yes
qnrB52	37	34	3	91.89	10.1651	3.1218	33.0998	4.229697197436515e-07	6.0503	1.7924	20.4225	2	1	yes	Klebsiella pneumoniae:n=34,OR=7.81	33	36	25	26.47	no	6.075383247226994e-07	yes	yes
qnrB1	356	326	30	91.57	9.8122	6.7491	14.2657	1.5704953822596323e-57	5.5566	3.7998	8.1259	9	2	yes	Klebsiella pneumoniae:n=292,OR=7.49;Enterobacter hormaechei:n=32,OR=1.27	323	341	140	33.74	no	6.05215293651273e-57	yes	yes
rmtF1	70	64	6	91.43	9.5737	4.1457	22.1089	3.0274875936033686e-12	5.2098	2.2557	12.0329	1	1	yes	Klebsiella pneumoniae:n=70,OR=5.21	63	64	49	65.62	yes	5.562128369643398e-12	yes	yes
dfrA19	100	91	9	91.0	9.0806	4.5773	18.0143	2.1669694993478118e-16	10.4447	4.1132	26.522	8	1	yes	Enterobacter hormaechei:n=49,OR=11.9	90	98	58	79.12	yes	4.626772714823707e-16	yes	yes
tet(A)	1205	1092	113	90.62	8.8803	7.3127	10.784	7.167571248427419e-182	7.0851	5.6397	8.9009	11	3	yes	Klebsiella pneumoniae:n=969,OR=8.35;Enterobacter hormaechei:n=73,OR=3.18;Klebsiella quasipneumoniae:n=23,OR=33.9	1054	1087	498	15.38	no	7.549841715010214e-181	yes	yes
fosZ	32	29	3	90.62	8.6692	2.6405	28.4616	7.524856640434916e-06	48.5695	14.4061	163.7502	1	1	yes	Pseudomonas aeruginosa:n=23,OR=48.6	28	29	27	68.97	yes	9.907727909905972e-06	yes	yes
dfrA17	87	78	9	89.66	7.7808	3.9021	15.5149	1.7765008164804513e-13	8.2579	3.3228	20.5229	7	1	yes	Klebsiella pneumoniae:n=64,OR=30.8	78	87	54	26.92	no	3.381772638601341e-13	yes	yes
aph(4)	153	136	17	88.89	7.1913	4.3425	11.9088	1.0343318928286012e-21	3.7406	2.2601	6.1908	7	1	yes	Klebsiella pneumoniae:n=128,OR=3.19	122	135	63	30.88	no	2.5535068604206094e-21	yes	yes
rmtC	27	24	3	88.89	7.1736	2.1599	23.8251	0.00012717117808320086	4.7583	1.218	18.5898	5	0			24	25	23	62.5	yes	0.00015821296170980895	yes	yes
tmexC2	27	24	3	88.89	7.1736	2.1599	23.8251	0.00012717117808320086	10.0797	1.5119	67.1985	6	0			24	24	20	41.67	no	0.00015821296170980895	yes	yes
aac(6')-Ib-cr5	990	874	116	88.28	6.8837	5.6686	8.3594	1.5112630407623834e-128	3.9131	3.2125	4.7665	10	2	yes	Klebsiella pneumoniae:n=797,OR=3.67;Enterobacter hormaechei:n=73,OR=2.56	843	855	341	12.01	no	1.137045525906936e-127	yes	yes
dfrA16	40	35	5	87.5	6.2783	2.4594	16.0268	4.237694152002585e-06	9.097	1.8598	44.4976	6	0			34	39	32	62.86	yes	5.674200644206851e-06	yes	yes
erm(B)	78	68	10	87.18	6.1032	3.1419	11.8554	1.4805124351640004e-10	4.8373	2.2382	10.4545	4	1	yes	Klebsiella pneumoniae:n=70,OR=5.21	68	77	51	33.82	no	2.5152791909237855e-10	yes	yes
cmlA5	180	156	24	86.67	5.8447	3.802	8.9848	6.12019356908335e-22	21.1664	10.855	41.273	8	2	yes	Acinetobacter baumannii:n=30,OR=12.5;Klebsiella pneumoniae:n=111,OR=109	150	165	106	41.03	no	1.5349056887542371e-21	yes	yes
ble	718	620	98	86.35	5.745	4.6403	7.1127	2.1829649087659075e-82	12.3385	8.7324	17.4336	11	5	yes	Acinetobacter baumannii:n=67,OR=4.23;Klebsiella pneumoniae:n=355,OR=11.2;Pseudomonas aeruginosa:n=33,OR=9.86;Enterobacter hormaechei:n=62,OR=63.4;Klebsiella quasipneumoniae:n=26,OR=38.4	611	685	370	23.55	no	1.1893395020172874e-81	yes	yes
catA1	373	322	51	86.33	5.6971	4.2385	7.6576	2.1792014134219986e-43	5.5989	3.8393	8.165	9	3	no	Acinetobacter baumannii:n=25,OR=0.12;Klebsiella pneumoniae:n=291,OR=9.74;Enterobacter hormaechei:n=25,OR=3.67	318	361	179	36.65	no	7.825314166378994e-43	yes	yes
blaNDM	746	641	105	85.92	5.5455	4.5093	6.8199	2.7669485669060074e-83	10.9491	7.8777	15.218	11	5	yes	Acinetobacter baumannii:n=70,OR=4.18;Klebsiella pneumoniae:n=396,OR=11.7;Pseudomonas aeruginosa:n=28,OR=1.19;Enterobacter hormaechei:n=63,OR=64.4;Klebsiella quasipneumoniae:n=25,OR=36.9	630	710	343	22.93	no	1.5613495484683896e-82	yes	yes
dfrA15	39	33	6	84.62	4.9325	2.0665	11.7734	3.8332583257409646e-05	7.7727	2.0716	29.1634	4	0			33	39	24	60.61	yes	4.884313027960262e-05	yes	yes
blaTEM	2542	2135	407	83.99	4.9145	4.4157	5.4696	5.845529979443057e-250	7.2149	6.1946	8.4033	11	10	no	Acinetobacter baumannii:n=305,OR=0.12;Klebsiella pneumoniae:n=1800,OR=14.5;Pseudomonas aeruginosa:n=20,OR=8.82;Klebsiella aerogenes:n=20,OR=10.4;Klebsiella michiganensis:n=24,OR=3.67;Klebsiella oxytoca:n=21,OR=15.7;Enterobacter cloacae:n=30,OR=9.8;Enterobacter hormaechei:n=165,OR=4.8;Klebsiella quasipneumoniae:n=41,OR=29.4;Klebsiella ornithinolytica:n=23,OR=13.7	1993	2077	839	13.16	no	1.1544921709400036e-248	yes	yes
qnrB19	45	38	7	84.44	4.869	2.174	10.9044	1.487327053456456e-05				6	0			34	35	17	26.32	no	1.942129540877025e-05	yes	not_estimable
ere(A)	133	112	21	84.21	4.7907	3.0053	7.6368	3.393410387001254e-14	7.6296	3.7696	15.4421	6	2	yes	Klebsiella pneumoniae:n=49,OR=7.49;Enterobacter hormaechei:n=49,OR=24.2	111	131	81	62.5	yes	6.619244952422199e-14	yes	yes
catB3	847	709	138	83.71	4.6709	3.89	5.6085	3.891538134496229e-81	3.1565	2.5991	3.8334	11	3	yes	Klebsiella pneumoniae:n=631,OR=2.75;Pseudomonas aeruginosa:n=36,OR=9.09;Enterobacter hormaechei:n=67,OR=2.3	667	714	302	14.95	no	2.0495434175013473e-80	yes	yes
dfrA5	97	79	18	81.44	3.9393	2.3606	6.574	4.716794741256422e-09	7.96	3.5485	17.8555	6	1	yes	Klebsiella pneumoniae:n=68,OR=32.7	74	90	33	58.23	yes	7.452535691185148e-09	yes	yes
floR	553	446	107	80.65	3.7671	3.0491	4.6543	6.918269006955677e-43	5.0109	3.659	6.8623	10	4	no	Acinetobacter baumannii:n=47,OR=3.21;Klebsiella pneumoniae:n=287,OR=8.92;Pseudomonas aeruginosa:n=22,OR=0.339;Enterobacter hormaechei:n=24,OR=0.83	426	490	281	16.59	no	2.429081117997771e-42	yes	yes
sul2	1841	1466	375	79.63	3.6009	3.2118	4.0371	3.4775934957687936e-130	6.6344	5.601	7.8584	11	4	yes	Acinetobacter baumannii:n=387,OR=2.69;Klebsiella pneumoniae:n=1090,OR=11.7;Enterobacter hormaechei:n=76,OR=4.3;Klebsiella quasipneumoniae:n=31,OR=45.9	1418	1672	717	10.71	no	2.891893538586681e-129	yes	yes
toprJ2	25	20	5	80.0	3.5862	1.3458	9.5563	0.007930946875461514	6.5879	1.3479	32.1998	7	0			20	23	20	45.0	no	0.009146639462211089	yes	yes
blaCTX	89	71	18	79.78	3.5397	2.1098	5.9386	1.7212951526692452e-07	1.9294	1.1499	3.2374	4	1	yes	Klebsiella pneumoniae:n=81,OR=1.98	66	77	60	39.44	no	2.5181910566827847e-07	yes	yes
aadA5	132	105	27	79.55	3.492	2.2871	5.3316	2.1380908126599956e-10	4.5466	2.4039	8.5993	8	1	yes	Klebsiella pneumoniae:n=69,OR=16.4	105	125	83	13.33	no	3.555982614739782e-10	yes	yes
blaCTX-M	1929	1523	406	78.95	3.4574	3.0959	3.8611	2.69937525771656e-129	1.9831	1.7704	2.2212	11	4	yes	Klebsiella pneumoniae:n=1708,OR=1.89;Klebsiella michiganensis:n=22,OR=2.47;Enterobacter hormaechei:n=69,OR=1.81;Klebsiella quasipneumoniae:n=23,OR=33.9	1451	1525	647	20.88	no	2.1325064535960821e-128	yes	yes
aac(6')-Ib3	185	146	39	78.92	3.3639	2.362	4.7907	2.2942473475970003e-13	7.3255	4.2887	12.5127	10	3	no	Klebsiella pneumoniae:n=70,OR=10.9;Pseudomonas aeruginosa:n=24,OR=0.649;Enterobacter hormaechei:n=34,OR=8.03	137	172	121	34.25	no	4.3153700109562625e-13	yes	yes
aac(3)	1494	1160	334	77.64	3.177	2.8105	3.5913	6.675214704272704e-90	3.5323	3.0234	4.1269	11	7	no	Acinetobacter baumannii:n=194,OR=2.19;Klebsiella pneumoniae:n=897,OR=3.88;Pseudomonas aeruginosa:n=48,OR=1.89;Klebsiella aerogenes:n=26,OR=0.673;Klebsiella michiganensis:n=21,OR=4.4;Enterobacter hormaechei:n=113,OR=4.73;Klebsiella quasipneumoniae:n=26,OR=38.4	1106	1316	580	8.71	no	3.906236752870694e-89	yes	yes
catB	103	80	23	77.67	3.1216	1.9629	4.9645	2.6818962750925886e-07	4.1085	2.2311	7.5657	3	1	yes	Klebsiella pneumoniae:n=75,OR=5.62	75	93	66	56.25	yes	3.8875193712351283e-07	yes	yes
qnrVC6	34	26	8	76.47	2.914	1.3191	6.4372	0.005598710420350305	28.906	8.1427	102.6134	1	0			20	27	27	57.69	yes	0.006601464525487673	yes	yes
catB2	21	16	5	76.19	2.8687	1.0508	7.8315	0.046585210952443265	3.0222	0.8311	10.9904	9	0			16	19	16	37.5	no	0.050761816072317494	no	no
toprJ1	171	129	42	75.44	2.7585	1.9468	3.9086	1.201616511013403e-09	15.5793	7.8724	30.8309	5	2	yes	Klebsiella pneumoniae:n=83,OR=40.1;Pseudomonas aeruginosa:n=44,OR=7.98	121	147	82	37.21	no	1.937300089184874e-09	yes	yes
blaIMP	278	208	70	74.82	2.6719	2.0372	3.5044	5.098016090457772e-14	7.7179	5.0316	11.8384	11	3	yes	Klebsiella pneumoniae:n=43,OR=20.5;Pseudomonas aeruginosa:n=80,OR=3.71;Enterobacter hormaechei:n=82,OR=13.4	203	257	136	32.69	no	9.823006613321073e-14	yes	yes
blaAFM	27	20	7	74.07	2.5614	1.083	6.0583	0.032657449903918064	30.8643	10.3642	91.9134	1	1	yes	Pseudomonas aeruginosa:n=21,OR=30.9	20	27	20	95.0	yes	0.03633716256914827	yes	yes
aac(6')	1187	851	336	71.69	2.2981	2.0238	2.6096	3.601217565304419e-41	5.7172	4.6873	6.9732	10	5	yes	Acinetobacter baumannii:n=56,OR=5.84;Klebsiella pneumoniae:n=525,OR=9.14;Pseudomonas aeruginosa:n=285,OR=2.19;Enterobacter hormaechei:n=130,OR=9.03;Klebsiella quasipneumoniae:n=20,OR=29.4	750	906	401	16.1	no	1.21062207514489e-40	yes	yes
aph(6)	2185	1557	628	71.26	2.2725	2.0691	2.496	9.477845708058948e-72	4.7854	4.148	5.5208	11	7	yes	Acinetobacter baumannii:n=463,OR=1.37;Klebsiella pneumoniae:n=1086,OR=12;Pseudomonas aeruginosa:n=123,OR=1.75;Klebsiella oxytoca:n=24,OR=8.37;Enterobacter hormaechei:n=148,OR=2.77;Klebsiella quasipneumoniae:n=28,OR=19.5;Klebsiella ornithinolytica:n=26,OR=15.6	1436	1841	767	8.41	no	4.679686318354105e-71	yes	yes
aph(3'')	2147	1529	618	71.22	2.2668	2.0622	2.4916	3.560886905194795e-70	4.7605	4.1241	5.4951	11	7	yes	Acinetobacter baumannii:n=460,OR=1.42;Klebsiella pneumoniae:n=1067,OR=11.5;Pseudomonas aeruginosa:n=118,OR=1.75;Klebsiella oxytoca:n=25,OR=8.75;Enterobacter hormaechei:n=151,OR=2.84;Klebsiella quasipneumoniae:n=27,OR=18.8;Klebsiella ornithinolytica:n=26,OR=15.6	1387	1816	754	8.57	no	1.7049094879417505e-69	yes	yes
tet(C)	42	29	13	69.05	2.0	1.0396	3.8478	0.043372687404687596	4.5565	1.8471	11.2403	6	0			29	42	36	44.83	no	0.04792226999958489	yes	yes
tet(X3)	77	52	25	67.53	1.8653	1.1574	3.0061	0.01151395798610057				1	0			45	51	34	42.31	no	0.012994324012884927	yes	not_estimable
