assembly_accession	assembly_version	replicon_accession	replicon_name	replicon_length	topology	species	genus	bioproject_accession	n_chromosomal_arg_occurrences	n_context_blocks	download_url	local_filename	expected_checksum
GCA_000226275.2	GCA_000226275.2	CP001937.2	chromosome	4022275	circular	Acinetobacter baumannii	Acinetobacter	PRJNA28333	19	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP001937.2&rettype=fasta&retmode=text	CP001937.2.fna	
GCA_000794125.2	GCA_000794125.2	CP114381.1	chromosome	3990368	circular	Acinetobacter baumannii	Acinetobacter	PRJNA263680	11	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP114381.1&rettype=fasta&retmode=text	CP114381.1.fna	
GCA_001668465.2	GCA_001668465.2	CP035049.1	chromosome	3873900	circular	Acinetobacter baumannii	Acinetobacter	PRJNA271775	5	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035049.1&rettype=fasta&retmode=text	CP035049.1.fna	
GCA_001669145.2	GCA_001669145.2	CP035045.1	chromosome	3915869	circular	Acinetobacter baumannii	Acinetobacter	PRJNA271775	10	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035045.1&rettype=fasta&retmode=text	CP035045.1.fna	
GCA_001674475.2	GCA_001674475.2	CP035051.1	chromosome	3929411	circular	Acinetobacter baumannii	Acinetobacter	PRJNA271775	10	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035051.1&rettype=fasta&retmode=text	CP035051.1.fna	
GCA_001674505.2	GCA_001674505.2	CP035043.1	chromosome	3930797	circular	Acinetobacter baumannii	Acinetobacter	PRJNA271775	10	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035043.1&rettype=fasta&retmode=text	CP035043.1.fna	
GCA_001895125.2	GCA_001895125.2	AP023077.1	chromosome	3992063	circular	Acinetobacter baumannii	Acinetobacter	PRJDB5156	10	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AP023077.1&rettype=fasta&retmode=text	AP023077.1.fna	
GCA_002762545.2	GCA_002762545.2	CP035672.1	chromosome	4193563	circular	Acinetobacter baumannii	Acinetobacter	PRJNA417137	26	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035672.1&rettype=fasta&retmode=text	CP035672.1.fna	
GCA_002803025.2	GCA_002803025.2	CP001172.2	chromosome	3759495	circular	Acinetobacter baumannii	Acinetobacter	PRJNA30993	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP001172.2&rettype=fasta&retmode=text	CP001172.2.fna	
GCA_002902885.1	GCA_002902885.1	CP026125.1	chromosome	3787376	circular	Acinetobacter baumannii	Acinetobacter	PRJNA430813	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP026125.1&rettype=fasta&retmode=text	CP026125.1.fna	
GCA_002947415.1	GCA_002947415.1	CP026707.1	chromosome	3993843	circular	Acinetobacter baumannii	Acinetobacter	PRJNA292904	10	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP026707.1&rettype=fasta&retmode=text	CP026707.1.fna	
GCA_002947845.1	GCA_002947845.1	CP026711.1	chromosome	4028761	circular	Acinetobacter baumannii	Acinetobacter	PRJNA292904	5	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP026711.1&rettype=fasta&retmode=text	CP026711.1.fna	
GCA_002948925.1	GCA_002948925.1	CP026761.1	chromosome	3871930	circular	Acinetobacter baumannii	Acinetobacter	PRJNA292904	13	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP026761.1&rettype=fasta&retmode=text	CP026761.1.fna	
GCA_002950495.2	GCA_002950495.2	CP026750.2	chromosome	3893621	circular	Acinetobacter baumannii	Acinetobacter	PRJNA387062	18	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP026750.2&rettype=fasta&retmode=text	CP026750.2.fna	
GCA_002996805.1	GCA_002996805.1	CP027528.1	chromosome	4149444	circular	Acinetobacter baumannii	Acinetobacter	PRJNA292904	33	10	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027528.1&rettype=fasta&retmode=text	CP027528.1.fna	
GCA_002999195.2	GCA_002999195.2	CP027246.2	chromosome	3990012	circular	Acinetobacter baumannii	Acinetobacter	PRJNA387062	12	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027246.2&rettype=fasta&retmode=text	CP027246.2.fna	
GCA_003006035.1	GCA_003006035.1	CP027530.1	chromosome	4040515	circular	Acinetobacter baumannii	Acinetobacter	PRJNA292904	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027530.1&rettype=fasta&retmode=text	CP027530.1.fna	
