assembly_version	organism	scheme	st	profile
GCA_003948085.2	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_002948925.1	Acinetobacter baumannii	abaumannii_2	229	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(51),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(3)
GCA_005280715.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_002803025.2	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_007221455.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003006035.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_003181015.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008244865.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003949595.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008033255.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_001674505.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008244885.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_004101745.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_004101725.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_005280415.1	Acinetobacter baumannii	abaumannii_2	575	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(92)
GCA_004101705.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_004136355.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003010655.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_005519135.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003931775.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003264295.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003931755.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003948535.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_004101685.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
