assembly_version	biosample_accession	bioproject_accession	organism	genus	n_arg_occurrences	n_plasmid_args	n_chromosomal_args	pct_plasmid	n_distinct_families	n_arg_bearing_replicons	n_arg_bearing_plasmids
GCA_000226275.2	SAMN02603878	PRJNA28333	Acinetobacter baumannii	Acinetobacter	19	0	19	0.0	16	1	0
GCA_000794125.2	SAMN03105183	PRJNA263680	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	10	1	0
GCA_001668465.2	SAMN05238697	PRJNA271775	Acinetobacter baumannii	Acinetobacter	5	0	5	0.0	4	1	0
GCA_001669145.2	SAMN05238672	PRJNA271775	Acinetobacter baumannii	Acinetobacter	12	2	10	16.667	10	2	1
GCA_001674475.2	SAMN05238628	PRJNA271775	Acinetobacter baumannii	Acinetobacter	12	2	10	16.667	10	2	1
GCA_001674505.2	SAMN05238571	PRJNA271775	Acinetobacter baumannii	Acinetobacter	11	1	10	9.091	10	2	1
GCA_001696605.3	SAMN05356836	PRJNA387062	Acinetobacter wuhouensis	Acinetobacter	8	6	2	75.0	8	3	2
GCA_001696615.3	SAMN05356835	PRJNA387062	Acinetobacter sp.	Acinetobacter	12	12	0	100.0	11	6	6
GCA_001704615.3	SAMN05356262	PRJNA387062	Acinetobacter defluvii	Acinetobacter	16	10	6	62.5	15	2	1
GCA_001895125.2	SAMD00059694	PRJDB5156	Acinetobacter baumannii	Acinetobacter	14	4	10	28.571	13	3	2
GCA_002119785.3	SAMN06191591	PRJNA359405	Acinetobacter lwoffii	Acinetobacter	1	0	1	0.0	1	1	0
GCA_002165245.3	SAMN07138956	PRJNA387062	Acinetobacter junii	Acinetobacter	6	4	2	66.667	6	2	1
GCA_002165255.2	SAMN07138955	PRJNA387062	Acinetobacter sp.	Acinetobacter	9	9	0	100.0	8	1	1
GCA_002165295.2	SAMN07138952	PRJNA387062	Acinetobacter sp.	Acinetobacter	10	9	1	90.0	10	3	2
GCA_002165305.2	SAMN07138953	PRJNA387062	Acinetobacter sp.	Acinetobacter	21	15	6	71.429	15	4	3
GCA_002165345.2	SAMN07138954	PRJNA387062	Acinetobacter wuhouensis	Acinetobacter	25	23	2	92.0	17	8	7
GCA_002165375.2	SAMN07138949	PRJNA387062	Acinetobacter chinensis	Acinetobacter	11	10	1	90.909	9	5	4
GCA_002307335.2	SAMN07565840	PRJNA400335	Klebsiella pneumoniae	Klebsiella	1	0	1	0.0	1	1	0
GCA_002762545.2	SAMN07977426	PRJNA417137	Acinetobacter baumannii	Acinetobacter	26	0	26	0.0	18	1	0
GCA_002803025.2	SAMN02603889	PRJNA30993	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_002863745.1	SAMN06187701	PRJNA359166	Acinetobacter pittii	Acinetobacter	3	1	2	33.333	2	2	1
GCA_002902805.2	SAMN08382337	PRJNA387062	Acinetobacter pittii	Acinetobacter	11	9	2	81.818	9	2	1
GCA_002902885.1	SAMN06040401	PRJNA430813	Acinetobacter baumannii	Acinetobacter	6	3	3	50.0	6	2	1
GCA_002934695.1	SAMN03455971	PRJNA430813	Acinetobacter sp.	Acinetobacter	4	3	1	75.0	4	2	1
GCA_002934965.1	SAMN04287023	PRJNA430813	Acinetobacter sp.	Acinetobacter	14	13	1	92.857	8	4	3
GCA_002946595.1	SAMN08449481	PRJNA432443	Acinetobacter sp.	Acinetobacter	11	5	6	45.455	11	2	1
GCA_002947415.1	SAMN04014897	PRJNA292904	Acinetobacter baumannii	Acinetobacter	13	3	10	23.077	11	3	2
GCA_002947845.1	SAMN04014904	PRJNA292904	Acinetobacter baumannii	Acinetobacter	6	1	5	16.667	5	2	1
GCA_002948925.1	SAMN04014919	PRJNA292904	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	12	1	0
GCA_002950495.2	SAMN08364585	PRJNA387062	Acinetobacter baumannii	Acinetobacter	21	3	18	14.286	17	2	1
GCA_002951295.1	SAMN03996318	PRJNA231221	Acinetobacter nosocomialis	Acinetobacter	1	0	1	0.0	1	1	0
GCA_002980175.2	SAMN07581341	PRJNA400855	Acinetobacter sp.	Acinetobacter	2	0	2	0.0	2	1	0
GCA_002993105.1	SAMN08625641	PRJNA436456	Acinetobacter radioresistens	Acinetobacter	1	0	1	0.0	1	1	0
GCA_002996805.1	SAMN04014924	PRJNA292904	Acinetobacter baumannii	Acinetobacter	33	0	33	0.0	21	1	0
GCA_002999115.2	SAMN08031286	PRJNA387062	Acinetobacter pittii	Acinetobacter	14	11	3	78.571	12	2	1
GCA_002999195.2	SAMN08364584	PRJNA387062	Acinetobacter baumannii	Acinetobacter	17	5	12	29.412	13	2	1
GCA_002999215.3	SAMN08031302	PRJNA387062	Acinetobacter pittii	Acinetobacter	6	3	3	50.0	5	2	1
GCA_003006035.1	SAMN04014929	PRJNA292904	Acinetobacter baumannii	Acinetobacter	12	9	3	75.0	12	3	2
GCA_003010655.1	SAMN04014943	PRJNA292904	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	13	1	0
GCA_003010675.1	SAMN04014942	PRJNA292904	Acinetobacter baumannii	Acinetobacter	8	0	8	0.0	7	1	0
GCA_003012895.3	SAMN08637743	PRJNA437037	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_003024525.3	SAMN08772519	PRJNA387062	Acinetobacter cumulans	Acinetobacter	10	10	0	100.0	9	3	3
GCA_003029495.1	SAMN04014897	PRJNA316321	Acinetobacter baumannii	Acinetobacter	13	3	10	23.077	11	3	2
GCA_003051965.2	SAMN08364583	PRJNA387062	Acinetobacter pittii	Acinetobacter	6	3	3	50.0	5	2	1
GCA_003072585.2	SAMN08222738	PRJNA388547	Acinetobacter schindleri	Acinetobacter	2	0	2	0.0	2	1	0
GCA_003143895.1	SAMN09197281	PRJNA471013	Acinetobacter nosocomialis	Acinetobacter	1	0	1	0.0	1	1	0
GCA_003181015.1	SAMN09241862	PRJNA472712	Acinetobacter baumannii	Acinetobacter	11	3	8	27.273	9	4	3
GCA_003258335.1	SAMN09423269	PRJNA475995	Acinetobacter radioresistens	Acinetobacter	1	0	1	0.0	1	1	0
GCA_003264255.1	SAMN07135563	PRJNA361029	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	9	1	0
GCA_003264275.1	SAMN07135565	PRJNA273343	Acinetobacter baumannii	Acinetobacter	21	0	21	0.0	16	1	0
GCA_003264295.1	SAMN06219545	PRJNA361029	Acinetobacter baumannii	Acinetobacter	10	0	10	0.0	9	1	0
GCA_003288775.1	SAMN09389171	PRJNA475448	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	10	1	0
GCA_003296225.1	SAMN09460321	PRJNA472712	Acinetobacter baumannii	Acinetobacter	9	2	7	22.222	7	2	1
GCA_003323815.1	SAMN09630388	PRJNA480180	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_003335165.1	SAMN09652504	PRJNA480925	Acinetobacter johnsonii	Acinetobacter	1	0	1	0.0	1	1	0
GCA_003345235.1	SAMN07559626	PRJNA311558	Acinetobacter baumannii	Acinetobacter	8	0	8	0.0	7	1	0
GCA_003354845.1	SAMN09069679	PRJNA459525	Acinetobacter pittii	Acinetobacter	4	0	4	0.0	3	1	0
GCA_003359215.2	SAMN09069678	PRJNA459525	Acinetobacter pittii	Acinetobacter	1	0	1	0.0	1	1	0
GCA_003359225.2	SAMN09069676	PRJNA459525	Acinetobacter pittii	Acinetobacter	11	9	2	81.818	11	2	1
GCA_003359255.2	SAMN09069680	PRJNA459525	Acinetobacter baumannii	Acinetobacter	15	0	15	0.0	14	1	0
GCA_003359275.2	SAMN09069675	PRJNA459525	Acinetobacter pittii	Acinetobacter	9	7	2	77.778	8	2	1
GCA_003359295.2	SAMN09069677	PRJNA459525	Acinetobacter pittii	Acinetobacter	5	1	4	20.0	3	2	1
GCA_003359305.2	SAMN09069673	PRJNA459525	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_003359315.2	SAMN09069674	PRJNA459525	Acinetobacter pittii	Acinetobacter	10	7	3	70.0	10	2	1
GCA_003359355.2	SAMN09069671	PRJNA459525	Acinetobacter nosocomialis	Acinetobacter	7	7	0	100.0	6	2	2
GCA_003359375.2	SAMN09069669	PRJNA459525	Acinetobacter nosocomialis	Acinetobacter	4	4	0	100.0	4	1	1
GCA_003359395.2	SAMN09069670	PRJNA459525	Acinetobacter nosocomialis	Acinetobacter	4	4	0	100.0	4	2	2
GCA_003359435.2	SAMN09069672	PRJNA459525	Acinetobacter nosocomialis	Acinetobacter	2	0	2	0.0	2	1	0
GCA_003359505.2	SAMN09069668	PRJNA459525	Acinetobacter nosocomialis	Acinetobacter	7	7	0	100.0	6	3	3
GCA_003430865.2	SAMN08707400	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	5	3	2	60.0	5	2	1
GCA_003431865.1	SAMN04014911	PRJNA316321	Acinetobacter baumannii	Acinetobacter	8	4	4	50.0	5	3	2
GCA_003516005.1	SAMN07284119	PRJNA311558	Acinetobacter baumannii	Acinetobacter	18	2	16	11.111	15	3	2
GCA_003522665.1	SAMN07520236	PRJNA311558	Acinetobacter baumannii	Acinetobacter	14	1	13	7.143	11	2	1
GCA_003522705.1	SAMN07520237	PRJNA311558	Acinetobacter baumannii	Acinetobacter	5	2	3	40.0	5	2	1
GCA_003522785.1	SAMN07520233	PRJNA311558	Acinetobacter baumannii	Acinetobacter	16	2	14	12.5	13	3	2
GCA_003522845.1	SAMN07520232	PRJNA311558	Acinetobacter baumannii	Acinetobacter	14	1	13	7.143	7	2	1
GCA_003522885.1	SAMN07520231	PRJNA311558	Acinetobacter baumannii	Acinetobacter	17	1	16	5.882	15	2	1
GCA_003547115.1	SAMN04014893	PRJNA316321	Acinetobacter baumannii	Acinetobacter	8	4	4	50.0	5	3	2
GCA_003591615.1	SAMN07580891	PRJNA400841	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	10	1	0
GCA_003627485.2	SAMN10170272	PRJNA494506	Acinetobacter baumannii	Acinetobacter	24	11	13	45.833	18	3	2
GCA_003691345.1	SAMN10226300	PRJNA495451	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCA_003812065.1	SAMN10163233	PRJNA231221	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_003812205.1	SAMN10163184	PRJNA231221	Acinetobacter sp.	Acinetobacter	15	0	15	0.0	13	1	0
GCA_003812225.1	SAMN10163170	PRJNA231221	Acinetobacter sp.	Acinetobacter	12	0	12	0.0	9	1	0
GCA_003812245.1	SAMN10163169	PRJNA231221	Acinetobacter sp.	Acinetobacter	7	0	7	0.0	7	1	0
GCA_003812385.1	SAMN10163228	PRJNA231221	Acinetobacter baumannii	Acinetobacter	4	1	3	25.0	4	2	1
GCA_003812485.1	SAMN10411605	PRJNA505170	Acinetobacter baumannii	Acinetobacter	22	1	21	4.545	13	2	1
GCA_003931755.1	SAMN07258640	PRJNA390934	Acinetobacter baumannii	Acinetobacter	20	0	20	0.0	16	1	0
GCA_003931775.1	SAMN07258642	PRJNA390934	Acinetobacter baumannii	Acinetobacter	20	0	20	0.0	16	1	0
GCA_003938405.2	SAMN10248995	PRJNA497126	Acinetobacter variabilis	Acinetobacter	11	3	8	27.273	11	2	1
GCA_003939325.2	SAMN10249157	PRJNA497126	Acinetobacter johnsonii	Acinetobacter	12	11	1	91.667	12	2	1
GCA_003939335.2	SAMN10249206	PRJNA497126	Acinetobacter junii	Acinetobacter	16	16	0	100.0	14	1	1
GCA_003939355.2	SAMN10249224	PRJNA497126	Acinetobacter junii	Acinetobacter	18	18	0	100.0	15	1	1
GCA_003948085.2	SAMN10261613	PRJNA497581	Acinetobacter baumannii	Acinetobacter	9	0	9	0.0	9	1	0
GCA_003948455.2	SAMN10261589	PRJNA497581	Acinetobacter baumannii	Acinetobacter	15	1	14	6.667	13	2	1
GCA_003948535.2	SAMN10261584	PRJNA497581	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	12	1	0
GCA_003949115.2	SAMN10261535	PRJNA497581	Acinetobacter baumannii	Acinetobacter	9	0	9	0.0	9	1	0
GCA_003949595.2	SAMN10261544	PRJNA497581	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	13	1	0
GCA_003949725.2	SAMN10261537	PRJNA497581	Acinetobacter baumannii	Acinetobacter	9	1	8	11.111	9	2	1
GCA_003952705.1	SAMN09767503	PRJNA484667	Acinetobacter haemolyticus	Acinetobacter	10	3	7	30.0	10	2	1
GCA_003952785.1	SAMN07298690	PRJNA392395	Acinetobacter johnsonii	Acinetobacter	1	0	1	0.0	1	1	0
GCA_003956065.1	SAMN09259196	PRJNA473066	Acinetobacter pittii	Acinetobacter	5	1	4	20.0	5	2	1
GCA_003966675.1	SAMD00129509	PRJDB7166	Acinetobacter ursingii	Acinetobacter	1	0	1	0.0	1	1	0
GCA_004028375.1	SAMN10441121	PRJNA506023	Acinetobacter baumannii	Acinetobacter	4	1	3	25.0	3	2	1
GCA_004101685.1	SAMN07258672	PRJNA390934	Acinetobacter baumannii	Acinetobacter	18	0	18	0.0	15	1	0
GCA_004101705.1	SAMN07258689	PRJNA390934	Acinetobacter baumannii	Acinetobacter	17	0	17	0.0	15	1	0
GCA_004101725.1	SAMN07258647	PRJNA390934	Acinetobacter baumannii	Acinetobacter	17	0	17	0.0	15	1	0
GCA_004101745.1	SAMN07258645	PRJNA390934	Acinetobacter baumannii	Acinetobacter	17	0	17	0.0	15	1	0
GCA_004136355.1	SAMN09769497	PRJNA484790	Acinetobacter baumannii	Acinetobacter	17	4	13	23.529	11	3	2
GCA_004151415.2	SAMN10249049	PRJNA497126	Acinetobacter lwoffii	Acinetobacter	21	17	4	80.952	15	2	1
GCA_004194555.1	SAMN08513260	PRJNA244617	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_004295305.1	SAMN10928940	PRJNA522344	Acinetobacter nosocomialis	Acinetobacter	1	0	1	0.0	1	1	0
GCA_004337595.1	SAMN11047491	PRJNA525348	Acinetobacter johnsonii	Acinetobacter	2	1	1	50.0	1	2	1
GCA_004379355.1	SAMN11157875	PRJNA527688	Acinetobacter haemolyticus	Acinetobacter	18	16	2	88.889	13	2	1
GCA_004564095.1	SAMN10386510	PRJNA529047	Acinetobacter baumannii	Acinetobacter	4	1	3	25.0	4	2	1
GCA_004564115.1	SAMN10386508	PRJNA529047	Acinetobacter baumannii	Acinetobacter	4	1	3	25.0	4	2	1
GCA_004758865.1	SAMN11298775	PRJNA530138	Acinetobacter baumannii	Acinetobacter	12	8	4	66.667	10	3	2
GCA_004768705.1	SAMN11311113	PRJNA530330	Acinetobacter baumannii	Acinetobacter	19	10	9	52.632	12	6	5
GCA_004792395.1	SAMN11295118	PRJNA530095	Acinetobacter nosocomialis	Acinetobacter	1	0	1	0.0	1	1	0
GCA_004797155.2	SAMN11304550	PRJNA530202	Acinetobacter baumannii	Acinetobacter	4	0	4	0.0	4	1	0
GCA_005280355.1	SAMN11554497	PRJNA540743	Acinetobacter baumannii	Acinetobacter	16	1	15	6.25	13	2	1
GCA_005280375.1	SAMN11554995	PRJNA540755	Acinetobacter baumannii	Acinetobacter	16	1	15	6.25	13	2	1
GCA_005280395.1	SAMN11557490	PRJNA540771	Acinetobacter baumannii	Acinetobacter	17	13	4	76.471	14	2	1
GCA_005280415.1	SAMN11557585	PRJNA540773	Acinetobacter baumannii	Acinetobacter	10	5	5	50.0	7	2	1
GCA_005280435.1	SAMN11557458	PRJNA540767	Acinetobacter baumannii	Acinetobacter	17	11	6	64.706	16	3	2
GCA_005280675.1	SAMN11571814	PRJNA541077	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_005280695.1	SAMN11571816	PRJNA541078	Acinetobacter baumannii	Acinetobacter	16	0	16	0.0	14	1	0
GCA_005280715.1	SAMN11571817	PRJNA541079	Acinetobacter baumannii	Acinetobacter	25	0	25	0.0	19	1	0
GCA_005281455.1	SAMN02471153	PRJNA541289	Acinetobacter nosocomialis	Acinetobacter	2	0	2	0.0	2	1	0
GCA_005518095.1	SAMN11621520	PRJNA542432	Acinetobacter baumannii	Acinetobacter	19	14	5	73.684	15	2	1
GCA_005519135.2	SAMN09302593	PRJNA474045	Acinetobacter baumannii	Acinetobacter	8	2	6	25.0	6	3	2
GCA_005519305.1	SAMN11179230	PRJNA528312	Acinetobacter radioresistens	Acinetobacter	1	0	1	0.0	1	1	0
GCA_005671375.1	SAMN11660471	PRJNA543307	Acinetobacter baumannii	Acinetobacter	13	2	11	15.385	13	2	1
GCA_006385075.1	SAMN12015779	PRJNA548265	Acinetobacter baumannii	Acinetobacter	8	0	8	0.0	7	1	0
GCA_006757745.1	SAMD00041796	PRJDB54	Acinetobacter radioresistens	Acinetobacter	1	0	1	0.0	1	1	0
GCA_007107525.1	SAMN12158047	PRJNA472828	Acinetobacter baumannii	Acinetobacter	9	6	3	66.667	8	3	2
GCA_007221455.1	SAMN12045486	PRJNA503905	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	12	1	0
GCA_007647215.1	SAMN06211572	PRJNA360504	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	11	1	0
GCA_007833615.1	SAMN09464373	PRJNA477264	Acinetobacter schindleri	Acinetobacter	2	0	2	0.0	2	1	0
GCA_007954485.1	SAMN12289369	PRJNA550014	Acinetobacter pittii	Acinetobacter	15	12	3	80.0	14	2	1
GCA_008033255.2	SAMN12399660	PRJNA557366	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	8	1	0
GCA_008086325.1	SAMN12418644	PRJNA557799	Acinetobacter nosocomialis	Acinetobacter	1	0	1	0.0	1	1	0
GCA_008121475.1	SAMN12612836	PRJNA561261	Acinetobacter pittii	Acinetobacter	10	8	2	80.0	9	2	1
GCA_008124045.1	SAMN12603273	PRJNA560883	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_008180305.1	SAMN12630603	PRJNA561898	Acinetobacter johnsonii	Acinetobacter	13	6	7	46.154	10	2	1
GCA_008244865.1	SAMN07258648	PRJNA390934	Acinetobacter baumannii	Acinetobacter	17	0	17	0.0	15	1	0
GCA_008244885.1	SAMN07258679	PRJNA390934	Acinetobacter baumannii	Acinetobacter	17	0	17	0.0	15	1	0
GCA_008244905.1	SAMN07258673	PRJNA390934	Acinetobacter baumannii	Acinetobacter	17	0	17	0.0	15	1	0
GCA_008386255.1	SAMN12647694	PRJNA562695	Klebsiella pneumoniae	Klebsiella	2	0	2	0.0	2	1	0
GCA_008386275.1	SAMN12647693	PRJNA562695	Klebsiella pneumoniae	Klebsiella	2	0	2	0.0	2	1	0
GCA_008630895.1	SAMN04273155	PRJNA305151	Acinetobacter baumannii	Acinetobacter	4	0	4	0.0	4	1	0
GCA_008630915.1	SAMN12734637	PRJNA565116	Acinetobacter suaedae	Acinetobacter	1	0	1	0.0	1	1	0
GCA_008632635.1	SAMN12769618	PRJNA565663	Acinetobacter baumannii	Acinetobacter	4	1	3	25.0	3	2	1
GCA_008694085.1	SAMN10448663	PRJNA532848	Acinetobacter pittii	Acinetobacter	16	13	3	81.25	14	2	1
GCA_008802935.1	SAMN12825295	PRJNA573751	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_008807055.1	SAMN10135127	PRJNA493508	Acinetobacter baumannii	Acinetobacter	16	0	16	0.0	13	1	0
GCA_008931365.1	SAMN12289292	PRJNA550014	Acinetobacter baumannii	Acinetobacter	15	12	3	80.0	13	2	1
GCA_009035845.1	SAMN12389466	PRJNA557095	Acinetobacter baumannii	Acinetobacter	4	0	4	0.0	4	1	0
GCA_009296145.1	SAMN11960537	PRJNA546476	Acinetobacter indicus	Acinetobacter	14	10	4	71.429	10	2	1
GCA_009455505.1	SAMN09244200	PRJNA472798	Acinetobacter baumannii	Acinetobacter	16	0	16	0.0	14	1	0
GCA_009497995.1	SAMN07520235	PRJNA311558	Acinetobacter baumannii	Acinetobacter	8	1	7	12.5	7	2	1
GCA_009498335.1	SAMN12569102	PRJNA560129	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	12	1	0
GCA_009498355.1	SAMN12569252	PRJNA560136	Pseudomonas aeruginosa	Pseudomonas	29	0	29	0.0	20	1	0
