occurrence_id	block_id	assembly_version	replicon_accession	bioproject_accession	organism_harmonized	genus	frozen_group	determinant_name	gene_family	portability_class	topology	wrapped_circular	truncated	block_n_args	weight_block_balanced	s2_selected	dist_any_bp	dist_is_bp	dist_integrase_bp	censored_any	censored_is	censored_integrase	overlap_zero	in_block_feature_beyond_window
GCA_003966675.1|AP018824.1|ant(3'')-IIc|853459|854244	blk000001	GCA_003966675.1	AP018824.1	PRJDB7166	Acinetobacter ursingii	Acinetobacter	other	ant(3'')-IIc	ant(3'')	B	circular	no	no	1	1.0	1	4225	4225	9002	0	0	0	0	0
GCA_059696525.1|AP019685.1|blaADC-30|1180962|1182110	blk000002	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaADC-30	blaADC	B	circular	no	no	1	1.0	1	81	81		0	0	1	0	0
GCA_059696525.1|AP019685.1|aac(6')-Ib'|1415192|1415743	blk000003	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	aac(6')-Ib'	aac(6')-Ib'	B	circular	no	no	7	0.14285714285714285	1	180	180	180	0	0	0	0	0
GCA_059696525.1|AP019685.1|catB8|1415839|1416468	blk000003	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	catB8	catB8	B	circular	no	no	7	0.14285714285714285	0	827	827	827	0	0	0	0	0
GCA_059696525.1|AP019685.1|aadA1|1416529|1417317	blk000003	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	aadA1	aadA1	B	circular	no	no	7	0.14285714285714285	0	1517	1517	1517	0	0	0	0	0
GCA_059696525.1|AP019685.1|sul1|1417825|1418661	blk000003	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	sul1	sul1	B	circular	no	no	7	0.14285714285714285	0	408	408	2813	0	0	0	0	0
GCA_059696525.1|AP019685.1|armA|1422009|1422779	blk000003	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	armA	armA	B	circular	no	no	7	0.14285714285714285	0	326	326	6997	0	0	0	0	0
GCA_059696525.1|AP019685.1|msr(E)|1425081|1426553	blk000003	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	msr(E)	msr(E)	B	circular	no	no	7	0.14285714285714285	0	399	399		0	0	1	0	0
GCA_059696525.1|AP019685.1|mph(E)|1426612|1427493	blk000003	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	mph(E)	mph(E)	B	circular	no	no	7	0.14285714285714285	0	647	647		0	0	1	0	0
GCA_059696525.1|AP019685.1|blaOXA-66|2265084|2265905	blk000004	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-66	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_059696525.1|AP019685.1|aac(3)-Ia|2709167|2709628	blk000005	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	aac(3)-Ia	aac(3)	B	circular	no	no	5	0.2	0	171	171	171	0	0	0	0	0
GCA_059696525.1|AP019685.1|aadA1|2711213|2712001	blk000005	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	aadA1	aadA1	B	circular	no	no	5	0.2	0	2217	2217	2217	0	0	0	0	0
GCA_059696525.1|AP019685.1|sul1|2712509|2713345	blk000005	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	sul1	sul1	B	circular	no	no	5	0.2	0	1271	1271	3513	0	0	0	0	0
GCA_059696525.1|AP019685.1|aph(3')-Ia|2715450|2716262	blk000005	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(3')-Ia	aph(3')	B	circular	no	no	5	0.2	0	130	130	6454	0	0	0	0	0
GCA_059696525.1|AP019685.1|blaTEM-1|2722042|2722899	blk000005	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaTEM-1	blaTEM	B	circular	no	no	5	0.2	1	74	74		0	0	1	0	0
