occurrence_id	block_id	bioproject_accession	organism_harmonized	genus	frozen_group	portability_class	weight_block_balanced	nmdist_dist_any_bp	nmdist_censored	endpoint_state	nmis_dist_bp	nmis_censored	n_complete_contained	n_complete_crossing	n_partial_or_boundary
GCA_003966675.1|AP018824.1|ant(3'')-IIc|853459|854244	blk000001	PRJDB7166	Acinetobacter ursingii	Acinetobacter	other	B	1.0	4225	0	complete_and_fully_contained	4203	0	1	0	0
GCA_059696525.1|AP019685.1|blaADC-30|1180962|1182110	blk000002	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	81	0	partial_or_boundary_limited		1	0	0	1
GCA_059696525.1|AP019685.1|aac(6')-Ib'|1415192|1415743	blk000003	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.14285714285714285	180	0	complete_and_fully_contained	978	0	3	2	0
GCA_059696525.1|AP019685.1|catB8|1415839|1416468	blk000003	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.14285714285714285	827	0	complete_and_fully_contained	1625	0	3	2	0
GCA_059696525.1|AP019685.1|aadA1|1416529|1417317	blk000003	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.14285714285714285	1517	0	complete_and_fully_contained	1297	0	3	2	0
GCA_059696525.1|AP019685.1|sul1|1417825|1418661	blk000003	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.14285714285714285	408	0	complete_and_fully_contained	0	0	3	2	0
GCA_059696525.1|AP019685.1|armA|1422009|1422779	blk000003	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.14285714285714285	326	0	complete_and_fully_contained	0	0	5	0	0
GCA_059696525.1|AP019685.1|msr(E)|1425081|1426553	blk000003	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.14285714285714285	399	0	complete_and_fully_contained	1257	0	4	1	0
GCA_059696525.1|AP019685.1|mph(E)|1426612|1427493	blk000003	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.14285714285714285	647	0	complete_and_fully_contained	317	0	4	1	0
GCA_059696525.1|AP019685.1|blaOXA-66|2265084|2265905	blk000004	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_059696525.1|AP019685.1|aac(3)-Ia|2709167|2709628	blk000005	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	171	0	complete_and_fully_contained	3405	0	3	2	1
GCA_059696525.1|AP019685.1|aadA1|2711213|2712001	blk000005	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	2217	0	complete_and_fully_contained	2563	0	3	2	1
GCA_059696525.1|AP019685.1|sul1|2712509|2713345	blk000005	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	1271	0	complete_and_fully_contained	1219	0	4	1	1
GCA_059696525.1|AP019685.1|aph(3')-Ia|2715450|2716262	blk000005	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	130	0	complete_and_fully_contained	67	0	4	1	1
GCA_059696525.1|AP019685.1|blaTEM-1|2722042|2722899	blk000005	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	74	0	complete_and_fully_contained	22	0	4	1	1
